ts_N	shared_N
701035	1785127
396444	1785127
362835	1785127
216713	1785127
198741	1785127
217770	1785127
271317	1785127
194495	1785127
75134	1785127
164953	1785127
377537	1785127
134605	1785127
233191	1785127
121778	1785127
147464	1785127
97844	1785127
119946	1785127
112763	1785127
117816	1785127
84649	1785127
84706	1785127
55295	1785127
