l_corr f_corr u_precision u_recall ts_precision ts_recall method tau seed
0.595268782033721 0.595312369289563 0.96875 0.939393939393939 0.311111111111111 0.170731707317073 NBSFA 1000 10
-0.104903168137359 0.821411822137141 0.914285714285714 0.96969696969697 0.36318407960199 0.890243902439024 NMF 1000 10
-0.518484743411594 -0.618828950788154 0.6 1 0.4 0.780487804878049 PCA 1000 10
-0.574953178344275 -0.727850526642305 0.6 1 0.2875 0.560975609756098 softImpute 1000 10
0.422954816715424 0.430295248375591 0.075 0.0909090909090909 0.317647058823529 0.658536585365854 SSVD 1000 10
-0.490321803397519 -0.682387992202156 0.6 1 0.331210191082803 0.634146341463415 PMA_cv1 1000 10
0.442420676911327 0.480011949345291 0.417721518987342 1 0.201834862385321 0.536585365853659 PMA_cv2 1000 10
-0.726004306657204 -0.790282607818679 0.941176470588235 0.96969696969697 0.41 0.5 flashr_default 1000 10
0.895926938123134 0.832718543512544 0.767441860465116 1 0.73394495412844 0.975609756097561 flashr_backfit 1000 10
0.992252069477586 0.999977857581984 1 0.96969696969697 0.963855421686747 0.975609756097561 flashr_nn 1000 10
0.990618579692599 0.999693267946186 0.96969696969697 0.96969696969697 0.918604651162791 0.963414634146341 sn_spMF 1000 10
0.398189185555547 0.553064745491714 0.525 0.67741935483871 0.323076923076923 0.225806451612903 NBSFA 1000 1
0.095882473974089 0.778787073810747 0.966666666666667 0.935483870967742 0.438202247191011 0.838709677419355 NMF 1000 1
-0.834022451215378 -0.817820071692578 0.617021276595745 0.935483870967742 0.47682119205298 0.774193548387097 PCA 1000 1
-0.499295802004873 -0.565976041476608 0.617021276595745 0.935483870967742 0.390728476821192 0.634408602150538 softImpute 1000 1
-0.355136781134905 -0.629435281742139 0.617021276595745 0.935483870967742 0.276315789473684 0.451612903225806 SSVD 1000 1
0.507501312486227 0.436232715569304 0.4 0.516129032258065 0.421052631578947 0.688172043010753 PMA_cv1 1000 1
-0.411537175857588 -0.526012630403936 0.763157894736842 0.935483870967742 0.231075697211155 0.623655913978495 PMA_cv2 1000 1
-0.723925052820425 -0.760672177736241 0.966666666666667 0.935483870967742 0.525773195876289 0.548387096774194 flashr_default 1000 1
0.92244597265709 0.909548342961259 0.805555555555556 0.935483870967742 0.775700934579439 0.89247311827957 flashr_backfit 1000 1
0.991411840760781 0.999969486586535 1 0.935483870967742 0.987654320987654 0.860215053763441 flashr_nn 1000 1
0.987229383981569 0.998924155074251 0.966666666666667 0.935483870967742 0.898876404494382 0.860215053763441 sn_spMF 1000 1
0.79005728276011 0.822317013367022 1 0.972972972972973 0.947368421052632 0.391304347826087 NBSFA 1000 2
0.0293225630838175 0.809270739325594 0.948717948717949 1 0.369158878504673 0.858695652173913 NMF 1000 2
0.379726644992474 0.601371667858306 0.587301587301587 1 0.212765957446809 0.543478260869565 PCA 1000 2
0.436532616462156 0.68174189480234 0.587301587301587 1 0.259574468085106 0.66304347826087 softImpute 1000 2
-0.436151203755214 -0.569623363425297 0.587301587301587 1 0.327800829875519 0.858695652173913 SSVD 1000 2
-0.436490735067667 -0.681579021123099 0.587301587301587 1 0.260683760683761 0.66304347826087 PMA_cv1 1000 2
-0.497161114273772 -0.466575406852218 0.679245283018868 0.972972972972973 0.242677824267782 0.630434782608696 PMA_cv2 1000 2
0.699587117270473 0.755420771894759 1 1 0.528846153846154 0.597826086956522 flashr_default 1000 2
0.681571696527601 0.764602510951205 0.60655737704918 1 0.493975903614458 0.891304347826087 flashr_backfit 1000 2
0.999063676395795 0.999973572936014 0.973684210526316 1 0.967032967032967 0.956521739130435 flashr_nn 1000 2
0.997449519631763 0.999967890169967 1 1 0.967032967032967 0.956521739130435 sn_spMF 1000 2
-0.355389557437136 -0.442011067410761 0 0 0.6 0.404494382022472 NBSFA 1000 3
0.052044998892231 0.779657783075806 1 0.944444444444444 0.405660377358491 0.966292134831461 NMF 1000 3
-0.669156185152802 -0.665032312219367 0.654545454545455 1 0.409574468085106 0.865168539325843 PCA 1000 3
-0.839369295509308 -0.822092476426179 0.654545454545455 1 0.409574468085106 0.865168539325843 softImpute 1000 3
0.467097125971242 0.410976982663189 0.357142857142857 0.416666666666667 0.319587628865979 0.696629213483146 SSVD 1000 3
0.510261329866897 0.467182814810436 0.375 0.333333333333333 0.34020618556701 0.741573033707865 PMA_cv1 1000 3
-0.396617344244528 -0.481230429222538 0.555555555555556 0.972222222222222 0.25 0.595505617977528 PMA_cv2 1000 3
0.315053287417934 0.743966140749258 1 0.944444444444444 0.229885057471264 0.224719101123595 flashr_default 1000 3
0.954660041759375 0.976112530202869 1 0.944444444444444 0.913978494623656 0.955056179775281 flashr_backfit 1000 3
0.96574348578388 0.999980077420863 1 0.944444444444444 0.977011494252874 0.955056179775281 flashr_nn 1000 3
0.965845959905673 0.999918276878973 1 0.944444444444444 0.965909090909091 0.955056179775281 sn_spMF 1000 3
0.460455120878637 0.560178260587002 0.777777777777778 0.194444444444444 0.534883720930233 0.23469387755102 NBSFA 1000 4
-0.0665125320488882 0.820016818380612 0.972222222222222 0.972222222222222 0.42156862745098 0.877551020408163 NMF 1000 4
0.829587569838986 0.623101120877908 0.631578947368421 1 0.536585365853659 0.897959183673469 PCA 1000 4
0.676326515435175 0.661788669201832 0.631578947368421 1 0.347560975609756 0.581632653061224 softImpute 1000 4
-0.60171126252349 -0.719674737813712 0.631578947368421 1 0.375838926174497 0.571428571428571 SSVD 1000 4
0.472185549779574 0.532582980580129 0.24390243902439 0.277777777777778 0.423728813559322 0.76530612244898 PMA_cv1 1000 4
