1	2	3	4	5	6	7	8
Adrenal_Gland	1.7293781558136	0	0	0	0	0	0	0
Brain_Amygdala	1.66612925538411	0	0	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.7445511971256	0	0	0.240515339654468	0	0	0	0
Brain_Cerebellar_Hemisphere	1.79432666426	0	0	0	0	0	0	0
Brain_Cortex	1.85659704943757	0	0	0.505094856968276	0	0	0	0
Brain_Hippocampus	1.56001466142115	0	0	0.104702491234369	0	0	0	0
Brain_Putamen_basal_ganglia	1.79367439140327	0	0	0.153398488482584	0	0	0	0
Brain_Spinal_cord_cervical_c-1	1.78333903128162	0	0	0	0	0	0	0
Colon_Transverse	1.50431800393265	0	0	0	0	3.43448996698936	0	0
Esophagus_Mucosa	1.64733479681497	0	0	0	5.79994010831298	0	0	0
Esophagus_Muscularis	1.699866857179	3.42814631385659	0	0	0	0	0	0
Heart_Atrial_Appendage	1.69126419000536	2.52990498027773	0	0	0	0	0	0
Lung	1.49562790531276	0	0	0	0	0	5.27233739025128	0
Minor_Salivary_Gland	1.71764299586575	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.44602675644467	0	0	0	0	0	0	5.01987047618524
Skin_Sun_Exposed_Lower_leg	1.47410181710572	0	0	0	0	0	0	5.04166563317651
Small_Intestine_Terminal_Ileum	1.39164809019164	0	0	0	0	0.754191056205144	0	0
Spleen	1.9449895025527	0	0	0	0	0	0	0
Uterus	1.68559155219867	0	0	0	0	0	0	0
Whole_Blood	0.917890819549535	0	5.92231331717371	0	0	0	0	0
