1	2	3	4	5	6	7
Adrenal_Gland	1.75064652215241	0	0	0	0	0	0
Brain_Amygdala	1.39551284138626	0	0	1.48739876580324	0	0	0
Brain_Caudate_basal_ganglia	1.42705327208538	0	0	2.02614101333963	0	0	0
Brain_Cerebellar_Hemisphere	1.45298309750583	0	0	2.04468823655507	0	0	0
Brain_Cortex	1.50435503079098	0	0	2.34727112620552	0	0	0
Brain_Hippocampus	1.30394273723529	0	0	1.5500741195921	0	0	0
Brain_Putamen_basal_ganglia	1.47855230490187	0	0	1.89834799198925	0	0	0
Brain_Spinal_cord_cervical_c-1	1.64735400202035	0	0	0.809745934950719	0	0	0
Colon_Transverse	1.62362092627666	0	2.61440663068601	0	0	0	0
Esophagus_Mucosa	1.69687373569059	5.13720929745096	0	0	0	0	0
Esophagus_Muscularis	1.7618621677469	0	0	0	0	0	3.57998534440007
Heart_Atrial_Appendage	1.78450693977571	0	0	0	0	0	1.44413918337722
Lung	1.71982215333401	0	0	0	0	0	0
Minor_Salivary_Gland	1.75309434063064	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.58743759224975	0	0	0	0	4.54476677689417	0
Skin_Sun_Exposed_Lower_leg	1.60044140894442	0	0	0	0	4.75448382425214	0
Small_Intestine_Terminal_Ileum	1.48490868137862	0	0	0	0	0	0
Spleen	2.00652115527242	0	0	0	0	0	0
Uterus	1.71971298026809	0	0	0	0	0	0
Whole_Blood	1.00720000776522	0	0	0	5.69311860020087	0	0
