1	2	3	4	5	6	7
Adrenal_Gland	1.78339063172055	0	0	0	0	0	0
Brain_Amygdala	1.45716360947517	0	0	1.44529215834943	0	0	0
Brain_Caudate_basal_ganglia	1.48991850883587	0	0	1.99763424950489	0	0	0
Brain_Cerebellar_Hemisphere	1.52322337912325	0	0	2.00442927414428	0	0	0
Brain_Cortex	1.58356999876531	0	0	2.27905509810845	0	0	0
Brain_Hippocampus	1.35612924192725	0	0	1.53116478939046	0	0	0
Brain_Putamen_basal_ganglia	1.55240576621837	0	0	1.84743640687301	0	0	0
Brain_Spinal_cord_cervical_c-1	1.69547776772201	0	0	0.83377863414971	0	0	0
Colon_Transverse	1.64872687996715	0	0	0	0	0	0
Esophagus_Mucosa	1.77526549977627	0	0	0	5.00746772518097	0	0
Esophagus_Muscularis	1.8191364242179	3.54437524637539	0	0	0	0	0
Heart_Atrial_Appendage	1.83981454809779	1.46152077146836	0	0	0	0	0
Lung	1.69005737573512	0	4.39642175671412	0	0	0	0
Minor_Salivary_Gland	1.82045866259572	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.63333007410971	0	0	0	0	0	4.67187240803091
Skin_Sun_Exposed_Lower_leg	1.65106685087975	0	0	0	0	0	4.83747888771926
Small_Intestine_Terminal_Ileum	1.5471538710814	0	0	0	0	0	0
Spleen	2.07313734992314	0	0	0	0	0	0
Uterus	1.7583794765978	0	0	0	0	0	0
Whole_Blood	1.05173563312099	0	0	0	0	5.64428581386168	0
