1	2	3	4	5	6	7	8
Adrenal_Gland	1.73381777245126	0	0	0	0	0	0	0
Brain_Amygdala	1.39059124850293	0	0	0	0	0	1.44712287433671	0
Brain_Caudate_basal_ganglia	1.40728427478733	0	0	0	0	0	2.0468111017732	0
Brain_Cerebellar_Hemisphere	1.43039801143239	0	0	0	0	0	2.08390715580011	0
Brain_Cortex	1.49379362717154	0	0	0	0	0	2.3295710370042	0
Brain_Hippocampus	1.286906870883	0	0	0	0	0	1.55725698621575	0
Brain_Putamen_basal_ganglia	1.47067335145015	0	0	0	0	0	1.88322310311155	0
Brain_Spinal_cord_cervical_c-1	1.63199980336245	0	0	0	0	0	0.783459590483845	0
Colon_Transverse	1.59416619145837	0	0	0	0	1.42796391241389	0	0
Esophagus_Mucosa	1.70295651748311	0	0	4.92228369378939	0	0	0	0
Esophagus_Muscularis	1.74654770256322	0	3.4723332091543	0	0	0	0	0
Heart_Atrial_Appendage	1.76563092274675	0	1.47429742381838	0	0	0	0	0
Lung	1.63031423256348	0	0	0	4.31638560387658	0	0	0
Minor_Salivary_Gland	1.7471969517319	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.56046951834024	4.53204436708299	0	0	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.5746350084662	4.72135284165429	0	0	0	0	0	0
Small_Intestine_Terminal_Ileum	1.48647416033866	0	0	0	0	0	0	0
Spleen	1.9965689558874	0	0	0	0	0	0	0
Uterus	1.70075131169293	0	0	0	0	0	0	0
Whole_Blood	1.0148341799282	0	0	0	0	0	0	5.67851932262545
