1	2	3	4	5	6
Adrenal_Gland	1.80372732823595	0	0	0	0	0
Brain_Amygdala	1.42451489105083	0	0	1.55645293714285	0	0
Brain_Caudate_basal_ganglia	1.45739269733904	0	0	2.09098529394085	0	0
Brain_Cerebellar_Hemisphere	1.48465935862291	0	0	2.10764994351206	0	0
Brain_Cortex	1.53675643988504	0	0	2.40522424661064	0	0
Brain_Hippocampus	1.33461479227072	0	0	1.60688929665747	0	0
Brain_Putamen_basal_ganglia	1.51213791929823	0	0	1.9688761607536	0	0
Brain_Spinal_cord_cervical_c-1	1.68783254186724	0	0	0.907097348200519	0	0
Colon_Transverse	1.65344583826487	0	0	0	0	0
Esophagus_Mucosa	1.78386227208947	0	0	0	5.13379012790592	0
Esophagus_Muscularis	1.84433597160019	3.56024453863104	0	0	0	0
Heart_Atrial_Appendage	1.86339048374276	1.44096186275876	0	0	0	0
Lung	1.78528713205223	0	0	0	0	0
Minor_Salivary_Gland	1.83141976385261	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.67055084170969	0	0	0	0	4.55092177262727
Skin_Sun_Exposed_Lower_leg	1.68767166545453	0	0	0	0	4.73062157296898
Small_Intestine_Terminal_Ileum	1.55790774980523	0	0	0	0	0
Spleen	2.08801109656547	0	0	0	0	0
Uterus	1.78316963492332	0	0	0	0	0
Whole_Blood	1.06906218259405	0	5.80672151498502	0	0	0
