1	2	3	4	5	6
Adrenal_Gland	1.84288724587296	0	0	0	0	0
Brain_Amygdala	1.40294084152421	0	1.624577632575	0	0	0
Brain_Caudate_basal_ganglia	1.42398536146398	0	2.1665457187919	0	0	0
Brain_Cerebellar_Hemisphere	1.45412702494616	0	2.16765760574884	0	0	0
Brain_Cortex	1.49811942477021	0	2.48090124026151	0	0	0
Brain_Hippocampus	1.31257994155228	0	1.66719320035518	0	0	0
Brain_Putamen_basal_ganglia	1.48194069020873	0	2.04850460984541	0	0	0
Brain_Spinal_cord_cervical_c-1	1.68977837962454	0	0.960533269696674	0	0	0
Colon_Transverse	1.69108919603939	0	0	0	0	0
Esophagus_Mucosa	1.83473612651217	0	0	0	5.01745287899685	0
Esophagus_Muscularis	1.87831851563478	0	0	0	0	3.57993818501133
Heart_Atrial_Appendage	1.90196015753628	0	0	0	0	1.43394958207698
Lung	1.82565117340714	0	0	0	0	0
Minor_Salivary_Gland	1.87138108547808	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.71764072035184	4.52397477147391	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.73552509734346	4.70255707642541	0	0	0	0
Small_Intestine_Terminal_Ileum	1.59247942729935	0	0	0	0	0
Spleen	2.13532148677806	0	0	0	0	0
Uterus	1.82068911263009	0	0	0	0	0
Whole_Blood	1.08834061883562	0	0	5.80308528105274	0	0
