1	2	3	4	5	6
Adrenal_Gland	1.76520277164718	0	0	0	0	0
Brain_Amygdala	1.3954396535634	0	0	0	1.5560408124288	0
Brain_Caudate_basal_ganglia	1.42619187779757	0	0	0	2.09164882652879	0
Brain_Cerebellar_Hemisphere	1.45230112014026	0	0	0	2.11147249539865	0
Brain_Cortex	1.50345610658834	0	0	0	2.40653954747891	0
Brain_Hippocampus	1.30656190974915	0	0	0	1.60664439436018	0
Brain_Putamen_basal_ganglia	1.47976798680672	0	0	0	1.9702198905817	0
Brain_Spinal_cord_cervical_c-1	1.65413384809131	0	0	0	0.90437325959632	0
Colon_Transverse	1.61834977407603	0	0	0	0	0
Esophagus_Mucosa	1.74184507011488	5.14484265863658	0	0	0	0
Esophagus_Muscularis	1.78330745148852	0	3.56849522629105	0	0	0
Heart_Atrial_Appendage	1.81453042198443	0	1.47185208636305	0	0	0
Lung	1.74696761520974	0	0	0	0	0
Minor_Salivary_Gland	1.79328919855535	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.61016668990354	0	0	4.63378295888711	0	0
Skin_Sun_Exposed_Lower_leg	1.62583674634089	0	0	4.81876687521028	0	0
Small_Intestine_Terminal_Ileum	1.52586407871144	0	0	0	0	0
Spleen	2.04349238552737	0	0	0	0	0
Uterus	1.74683112850794	0	0	0	0	0
Whole_Blood	1.05664062082423	0	0	0	0	5.81311012985623
