1	2	3	4	5	6
Adrenal_Gland	1.83227915748182	0	0	0	0	0
Brain_Amygdala	1.40862481057071	0	0	0	0	1.61025228543863
Brain_Caudate_basal_ganglia	1.43225978610545	0	0	0	0	2.15465214079425
Brain_Cerebellar_Hemisphere	1.46181489647257	0	0	0	0	2.15823796420356
Brain_Cortex	1.50774036355331	0	0	0	0	2.46980935229803
Brain_Hippocampus	1.31811455593297	0	0	0	0	1.65654810841847
Brain_Putamen_basal_ganglia	1.48944451644021	0	0	0	0	2.03527760903148
Brain_Spinal_cord_cervical_c-1	1.68932373828718	0	0	0	0	0.947910758236211
Colon_Transverse	1.68087062007747	0	0	0	0	0
Esophagus_Mucosa	1.81973824515191	0	0	5.03424170207136	0	0
Esophagus_Muscularis	1.87151985618389	3.61360924861436	0	0	0	0
Heart_Atrial_Appendage	1.89285971308301	1.42477539841134	0	0	0	0
Lung	1.81471509780665	0	0	0	0	0
Minor_Salivary_Gland	1.86051566198978	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.70501784485669	0	0	0	4.52482801569172	0
Skin_Sun_Exposed_Lower_leg	1.7227101746837	0	0	0	4.70305552780093	0
Small_Intestine_Terminal_Ileum	1.58309798540449	0	0	0	0	0
Spleen	2.12243287061061	0	0	0	0	0
Uterus	1.81050875218769	0	0	0	0	0
Whole_Blood	1.07803145840856	0	5.87794318521864	0	0	0
