1	2	3	4	5	6	7
Adrenal_Gland	1.79273046935411	0	0	0	0	0	0
Brain_Amygdala	1.73731608514138	0	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.84020268436947	0	0	0	0	0	0.127089377636055
Brain_Cerebellar_Hemisphere	1.86802708482713	0	0	0	0	0	0
Brain_Cortex	1.9435165792489	0	0	0	0	0	0.522405489680238
Brain_Hippocampus	1.64119826768166	0	0	0	0	0	0
Brain_Putamen_basal_ganglia	1.89398951710227	0	0	0	0	0	0.0152228931723436
Brain_Spinal_cord_cervical_c-1	1.83842390691339	0	0	0	0	0	0
Colon_Transverse	1.49136267425618	0	0	0	1.83559751142129	0	0
Esophagus_Mucosa	1.72929347134448	0	5.76050964345706	0	0	0	0
Esophagus_Muscularis	1.77725176784098	0	0	0	0	3.4174024723366	0
Heart_Atrial_Appendage	1.74972742879944	0	0	0	0.260652868647801	2.42562991146891	0
Lung	1.63952681762725	0	0	0	1.38791090016569	0	0
Minor_Salivary_Gland	1.73546537994156	0	0	0	0.382622236899312	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.47837651667377	0	0	5.08658543181487	0	0	0
Skin_Sun_Exposed_Lower_leg	1.51311938835362	0	0	5.059627445801	0	0	0
Small_Intestine_Terminal_Ileum	1.39305588790076	0	0	0	1.47862542027983	0	0
Spleen	1.91262942650193	0	0	0	1.45571939957004	0	0
Uterus	1.74829311159323	0	0	0	0	0	0
Whole_Blood	0.962560164295568	6.19016502926887	0	0	0	0	0
