1	2	3	4	5	6
Adrenal_Gland	1.76926824481307	0	0	0	0	0
Brain_Amygdala	1.37702196158468	0	0	1.58952758700402	0	0
Brain_Caudate_basal_ganglia	1.40149638602275	0	0	2.13411501018704	0	0
Brain_Cerebellar_Hemisphere	1.42852337492795	0	0	2.14626200763628	0	0
Brain_Cortex	1.47569462808732	0	0	2.45083527983201	0	0
Brain_Hippocampus	1.28790045689659	0	0	1.63907504036617	0	0
Brain_Putamen_basal_ganglia	1.4560388370085	0	0	2.01473097548105	0	0
Brain_Spinal_cord_cervical_c-1	1.64456754431399	0	0	0.927544360472846	0	0
Colon_Transverse	1.62261901426149	0	0	0	0	0
Esophagus_Mucosa	1.73811758863474	5.1817455907158	0	0	0	0
Esophagus_Muscularis	1.78865384902825	0	0	0	3.62873120651987	0
Heart_Atrial_Appendage	1.82007538036376	0	0	0	1.45422223006318	0
Lung	1.75139829621066	0	0	0	0	0
Minor_Salivary_Gland	1.79731188189864	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.60122454952853	0	0	0	0	4.68434125322947
Skin_Sun_Exposed_Lower_leg	1.61631850639643	0	0	0	0	4.87397714971559
Small_Intestine_Terminal_Ileum	1.52994556195609	0	0	0	0	0
Spleen	2.04868880799623	0	0	0	0	0
Uterus	1.75083772064068	0	0	0	0	0
Whole_Blood	1.0420268455377	0	5.72258366662396	0	0	0
