1	2	3	4	5	6	7	8
Adrenal_Gland	1.98670169179645	0	0	0	0	0	0	0
Brain_Amygdala	1.918015660243	0	0	0	0	0	0	0
Brain_Caudate_basal_ganglia	2.03145066425547	0	0	0	0.159015487380256	0	0	0
Brain_Cerebellar_Hemisphere	2.07421511182508	0	0	0	0	0	0	0
Brain_Cortex	2.1541726204028	0	0	0	0.5361598218497	0	0	0
Brain_Hippocampus	1.8137706572094	0	0	0	0	0	0	0
Brain_Putamen_basal_ganglia	2.09332267663201	0	0	0	0.0496081433292077	0	0	0
Brain_Spinal_cord_cervical_c-1	2.03579425939281	0	0	0	0	0	0	0
Colon_Transverse	1.7315499718675	0	0	4.52334494779526	0	0	0	0
Esophagus_Mucosa	1.95721164985395	0	5.85374670450205	0	0	0	0	0
Esophagus_Muscularis	2.04390767110478	0	0	0	0	0	0	3.26508944845384
Heart_Atrial_Appendage	2.00488629129028	0	0	0	0	0	0	2.47685978200354
Lung	1.74139904410489	0	0	0	0	2.76049637218418	0	0
Minor_Salivary_Gland	1.9583794374869	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.67747207860047	0	0	0	0	0	5.21360172287124	0
Skin_Sun_Exposed_Lower_leg	1.71686903460496	0	0	0	0	0	5.18369389434836	0
Small_Intestine_Terminal_Ileum	1.52541696039945	0	0	0	0	0.965742492977345	0	0
Spleen	2.11020940537003	0	0	0	0	1.59466849664497	0	0
Uterus	1.92958317196237	0	0	0	0	0	0	0
Whole_Blood	1.18350927918593	6.32157251807191	0	0	0	0	0	0
