1	2	3	4	5	6	7
Adrenal_Gland	1.79496202105403	0	0	0	0	0	0
Brain_Amygdala	1.45138298817775	1.45113922559261	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.49283721203774	1.97294356541676	0	0	0	0	0
Brain_Cerebellar_Hemisphere	1.52102162289247	1.98222382287935	0	0	0	0	0
Brain_Cortex	1.57775088066651	2.28612084345749	0	0	0	0	0
Brain_Hippocampus	1.35909548163942	1.51073787891086	0	0	0	0	0
Brain_Putamen_basal_ganglia	1.54353397786966	1.84306467391503	0	0	0	0	0
Brain_Spinal_cord_cervical_c-1	1.69904093596057	0.789948030491634	0	0	0	0	0
Colon_Transverse	1.66762245606721	0	0	2.63773386900777	0	0	0
Esophagus_Mucosa	1.7594776066666	0	0	0	0	0	5.0787316580598
Esophagus_Muscularis	1.81492867257004	0	0	0	0	3.57539249312913	0
Heart_Atrial_Appendage	1.83301986556474	0	0	0	0	1.43573601039522	0
Lung	1.76332926393156	0	0	0	0	0	0
Minor_Salivary_Gland	1.79580446932313	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.61934209029196	0	4.61116554041247	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.63254231536223	0	4.82842004572565	0	0	0	0
Small_Intestine_Terminal_Ileum	1.52070898216261	0	0	0	0	0	0
Spleen	2.05721329373516	0	0	0	0	0	0
Uterus	1.76095221439168	0	0	0	0	0	0
Whole_Blood	1.05424258888429	0	0	0	5.71017556524053	0	0
