1	2	3	4	5	6	7	8
Adrenal_Gland	1.85810239479766	0	0	0	0	0	0	0
Brain_Amygdala	1.78592118122875	0	0	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.87479954494977	0	0	0.228033849390332	0	0	0	0
Brain_Cerebellar_Hemisphere	1.92828999647485	0	0	0	0	0	0	0
Brain_Cortex	1.99572509525937	0	0	0.505698996235115	0	0	0	0
Brain_Hippocampus	1.67552061610316	0	0	0.088585663223967	0	0	0	0
Brain_Putamen_basal_ganglia	1.92788973428188	0	0	0.137609232936406	0	0	0	0
Brain_Spinal_cord_cervical_c-1	1.90911785299579	0	0	0	0	0	0	0
Colon_Transverse	1.60069136781833	0	0	0	0	0	0	3.05472024567574
Esophagus_Mucosa	1.80915895671386	0	0	0	0	0	5.7583829437199	0
Esophagus_Muscularis	1.86147657096484	0	0	0	3.34730037586439	0	0	0
Heart_Atrial_Appendage	1.84129072861797	0	0	0	2.47324642939705	0	0	0
Lung	1.60332917366373	0	0	0	0	5.32969191045362	0	0
Minor_Salivary_Gland	1.8380232306441	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.64631577908668	4.93058406342305	0	0	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.67792785381919	4.94922106539018	0	0	0	0	0	0
Small_Intestine_Terminal_Ileum	1.48631322407646	0	0	0	0	0	0	1.12013509327216
Spleen	2.08990004679355	0	0	0	0	0	0	0
Uterus	1.80489625082927	0	0	0	0	0	0	0
Whole_Blood	0.975321264358214	0	6.27660058221488	0	0	0	0	0
