1	2	3	4	5	6
Adrenal_Gland	1.7987942130609	0	0	0	0	0
Brain_Amygdala	1.3777056035399	0	0	1.60981360140678	0	0
Brain_Caudate_basal_ganglia	1.39862487540114	0	0	2.14763251742885	0	0
Brain_Cerebellar_Hemisphere	1.42667188386861	0	0	2.15590524768302	0	0
Brain_Cortex	1.47125890673881	0	0	2.46182506835894	0	0
Brain_Hippocampus	1.28840219169423	0	0	1.65240486847271	0	0
Brain_Putamen_basal_ganglia	1.45496172846905	0	0	2.02982830368865	0	0
Brain_Spinal_cord_cervical_c-1	1.65630321917448	0	0	0.948743499938352	0	0
Colon_Transverse	1.65052733072803	0	0	0	0	0
Esophagus_Mucosa	1.78583986493815	5.08897206217804	0	0	0	0
Esophagus_Muscularis	1.82226934599491	0	3.62746305355709	0	0	0
Heart_Atrial_Appendage	1.8522816497585	0	1.44678768978597	0	0	0
Lung	1.78157574435907	0	0	0	0	0
Minor_Salivary_Gland	1.82731772597073	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.64323234723901	0	0	0	0	4.64350082575164
Skin_Sun_Exposed_Lower_leg	1.65928512497859	0	0	0	0	4.83012094446159
Small_Intestine_Terminal_Ileum	1.55552776170063	0	0	0	0	0
Spleen	2.08385727736677	0	0	0	0	0
Uterus	1.77921176185291	0	0	0	0	0
Whole_Blood	1.07009517592788	0	0	0	5.70260994833385	0
