1	2	3	4	5	6	7	8
Adrenal_Gland	1.79254170456221	0	0	0	0	0	0	0
Brain_Amygdala	1.70501368978143	0	0	0	0.13849634808792	0	0	0
Brain_Caudate_basal_ganglia	1.77277894004232	0	0	0	0.540355526551439	0	0	0
Brain_Cerebellar_Hemisphere	1.83999890576702	0	0	3.01488029538251	0	0	0	0
Brain_Cortex	1.86731458196705	0	0	0	0.881014252035115	0	0	0
Brain_Hippocampus	1.58239969132569	0	0	0	0.358758479479033	0	0	0
Brain_Putamen_basal_ganglia	1.82223653615185	0	0	0	0.416486988000872	0	0	0
Brain_Spinal_cord_cervical_c-1	1.86358462294624	0	0	0	0	0	0	0
Colon_Transverse	1.60237207487242	0	0	0	0	0	0	0
Esophagus_Mucosa	1.74147989262535	0	0	0	0	0	5.53186850250908	0
Esophagus_Muscularis	1.77210566356675	0	3.62026853113999	0	0	0	0	0
Heart_Atrial_Appendage	1.78863497804379	0	2.02994500025442	0	0	0	0	0
Lung	1.60512989126225	5.05953983188425	0	0	0	0	0	0
Minor_Salivary_Gland	1.81384410041642	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.60663170890763	0	0	0	0	0	0	4.82436576772977
Skin_Sun_Exposed_Lower_leg	1.63083842896846	0	0	0	0	0	0	4.90371375218525
Small_Intestine_Terminal_Ileum	1.49961163964774	0	0	0	0	0	0	0
Spleen	2.05329845133926	0	0	0	0	0	0	0
Uterus	1.7585951026483	0	0	0	0	0	0	0
Whole_Blood	0.994007473686595	0	0	0	0	5.67952286483629	0	0
