1	2	3	4	5	6
Adrenal_Gland	1.8315420853874	0	0	0	0	0
Brain_Amygdala	1.50938028504275	0	0	1.43432404542057	0	0
Brain_Caudate_basal_ganglia	1.56481085046157	0	0	1.9100799551927	0	0
Brain_Cerebellar_Hemisphere	1.59827883048986	0	0	1.89810968724379	0	0
Brain_Cortex	1.66004958665036	0	0	2.2009970168546	0	0
Brain_Hippocampus	1.41968029629807	0	0	1.47317327825526	0	0
Brain_Putamen_basal_ganglia	1.61584734248062	0	0	1.78524121728034	0	0
Brain_Spinal_cord_cervical_c-1	1.74967450898189	0	0	0.835579695042784	0	0
Colon_Transverse	1.67673375181332	0	0	0	0	0
Esophagus_Mucosa	1.80249368253493	5.23808032701656	0	0	0	0
Esophagus_Muscularis	1.89082132806361	0	0	0	3.64219557453991	0
Heart_Atrial_Appendage	1.89897223247537	0	0	0	1.398916119414	0
Lung	1.81135593842602	0	0	0	0	0
Minor_Salivary_Gland	1.85847972133208	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.68605713688061	0	4.69989443577012	0	0	0
Skin_Sun_Exposed_Lower_leg	1.70313082689155	0	4.88951500294278	0	0	0
Small_Intestine_Terminal_Ileum	1.57772715777776	0	0	0	0	0
Spleen	2.11974352790612	0	0	0	0	0
Uterus	1.80855826894362	0	0	0	0	0
Whole_Blood	1.05234436085484	0	0	0	0	5.74871452025568
