ENCFF520HHK, Brain_Substantia_nigra, peaks, released, 
ENCFF403FBM, Muscle_Skeletal, peaks, released, 
ENCFF053RCF, Muscle_Skeletal, peaks, released, 
ENCFF998ZVR, Heart_Left_Ventricle, peaks, archived, 
ENCFF734SWB, Heart_Left_Ventricle, peaks, released, 
ENCFF041GRM, Heart_Left_Ventricle, peaks, released, 
ENCFF116FQN, Lung, peaks, archived, 
ENCFF305GIA, Lung, peaks, released, 
ENCFF159KOZ, Lung, peaks, released, 
ENCFF642FGW, Liver, peaks, released, 
ENCFF898UON, Liver, peaks, released, 
ENCFF878BUU, Small_Intestine_Terminal_Ileum, peaks, archived, 
ENCFF693DBR, Small_Intestine_Terminal_Ileum, peaks, released, 
ENCFF379PCT, Small_Intestine_Terminal_Ileum, peaks, released, 
ENCFF958QQV, Heart_Left_Ventricle, peaks, archived, 
ENCFF079CUS, Heart_Left_Ventricle, peaks, released, 
ENCFF263HRH, Heart_Left_Ventricle, peaks, released, 
ENCFF417LZR, Muscle_Skeletal, peaks, archived, 
ENCFF584FSU, Muscle_Skeletal, peaks, released, 
ENCFF216GSJ, Muscle_Skeletal, peaks, released, 
ENCFF082TJV, Muscle_Skeletal, peaks, released, 
ENCFF266EWU, Muscle_Skeletal, peaks, released, 
ENCFF987JDF, Muscle_Skeletal, peaks, released, 
ENCFF411XKW, Muscle_Skeletal, peaks, released, 
ENCFF545OWM, Muscle_Skeletal, replicated peaks, released, 
ENCFF288LZY, Muscle_Skeletal, replicated peaks, released, 
ENCFF827HSK, Stomach, peaks, archived, 
ENCFF888CZC, Stomach, peaks, released, 
ENCFF215TPE, Stomach, peaks, released, 
ENCFF099BTZ, Liver, peaks, released, 
ENCFF240AEZ, Liver, peaks, released, 
ENCFF653PGR, Kidney_Cortex, peaks, released, 
ENCFF515FGO, Kidney_Cortex, peaks, released, 
ENCFF147KWG, Small_Intestine_Terminal_Ileum, peaks, archived, 
ENCFF691ZPI, Small_Intestine_Terminal_Ileum, peaks, released, 
ENCFF413ERT, Small_Intestine_Terminal_Ileum, peaks, released, 
ENCFF693XRD, Brain_Substantia_nigra, peaks, released, 
ENCFF180TZR, Brain_Substantia_nigra, peaks, released, 
ENCFF995QIE, Nerve_Tibial, peaks, released, 
ENCFF443UAQ, Nerve_Tibial, peaks, released, 
ENCFF626UWX, Esophagus_Gastroesophageal_Junction, peaks, released, 
ENCFF718LUM, Esophagus_Gastroesophageal_Junction, peaks, released, 
ENCFF371EHC, Esophagus_Gastroesophageal_Junction, peaks, released, 
ENCFF711DZK, Esophagus_Gastroesophageal_Junction, replicated peaks, released, 
ENCFF692UJO, Esophagus_Gastroesophageal_Junction, peaks, released, 
ENCFF840SJB, Esophagus_Gastroesophageal_Junction, peaks, released, 
ENCFF723ZLJ, Esophagus_Gastroesophageal_Junction, peaks, released, 
ENCFF169EST, Esophagus_Gastroesophageal_Junction, replicated peaks, released, 
ENCFF540ZQK, Stomach, peaks, released, 
ENCFF611DJB, Stomach, peaks, released, 
ENCFF516TJR, Lung, peaks, released, 
ENCFF226WER, Lung, peaks, released, 
ENCFF574GUA, Esophagus_Mucosa, peaks, released, 
ENCFF007MPG, Esophagus_Mucosa, peaks, released, 
ENCFF572LCU, Esophagus_Mucosa, peaks, released, 
ENCFF827NFH, Esophagus_Mucosa, replicated peaks, released, 
ENCFF301VXY, Esophagus_Mucosa, peaks, released, 
ENCFF239QIH, Esophagus_Mucosa, peaks, released, 
ENCFF105FFS, Esophagus_Mucosa, peaks, released, 
ENCFF518WBH, Esophagus_Mucosa, replicated peaks, released, 
ENCFF119UWE, Spleen, peaks, released, 
ENCFF903UPT, Spleen, peaks, released, 
ENCFF277GEX, Kidney_Cortex, peaks, archived, 
ENCFF473EQN, Kidney_Cortex, peaks, released, 
ENCFF311MZI, Kidney_Cortex, peaks, released, 
ENCFF749COB, Adrenal_Gland, peaks, released, 
ENCFF833SQZ, Adrenal_Gland, peaks, released, 
ENCFF150NZH, Pancreas, peaks, released, 
ENCFF368TGP, Pancreas, peaks, released, 
ENCFF850WRZ, Pancreas, peaks, released, 
ENCFF931VYB, Pancreas, replicated peaks, released, 
ENCFF481GLK, Pancreas, peaks, released, 
ENCFF423ILK, Pancreas, peaks, released, 
ENCFF432ASC, Pancreas, peaks, released, 
ENCFF283YWD, Pancreas, replicated peaks, released, 
ENCFF383YDP, Adrenal_Gland, peaks, released, 
ENCFF345MBC, Adrenal_Gland, peaks, released, 
ENCFF900JXE, Adrenal_Gland, peaks, released, 
ENCFF245OXU, Adrenal_Gland, replicated peaks, released, 
ENCFF365QMK, Adrenal_Gland, peaks, released, 
ENCFF808IXC, Adrenal_Gland, peaks, released, 
ENCFF779AQX, Adrenal_Gland, peaks, released, 
ENCFF516GWH, Adrenal_Gland, replicated peaks, released, 
ENCFF916YYH, Adrenal_Gland, peaks, released, 
ENCFF351IWE, Adrenal_Gland, peaks, released, 
ENCFF646KYH, Pancreas, peaks, released, 
ENCFF940QJC, Pancreas, peaks, released, 
ENCFF084DEW, Muscle_Skeletal, peaks, archived, 
ENCFF056IWM, Muscle_Skeletal, peaks, released, 
ENCFF865YTJ, Muscle_Skeletal, peaks, released, 
ENCFF723STJ, Thyroid, peaks, released, 
ENCFF293IYJ, Thyroid, peaks, released, 
ENCFF085WQX, Skin_Sun_Exposed_Lower_leg, peaks, released, 
ENCFF282URV, Skin_Sun_Exposed_Lower_leg, peaks, released, 
ENCFF365MVG, Skin_Sun_Exposed_Lower_leg, peaks, released, 
ENCFF071XMA, Skin_Sun_Exposed_Lower_leg, replicated peaks, released, 
ENCFF071BXX, Skin_Sun_Exposed_Lower_leg, peaks, released, 
ENCFF405GTR, Skin_Sun_Exposed_Lower_leg, peaks, released, 
ENCFF775EAX, Skin_Sun_Exposed_Lower_leg, peaks, released, 
ENCFF496WOM, Skin_Sun_Exposed_Lower_leg, replicated peaks, released, 
ENCFF578QIC, Heart_Left_Ventricle, peaks, released, 
ENCFF379KKP, Heart_Left_Ventricle, peaks, released, 
ENCFF102QUE, Liver, peaks, released, 
ENCFF365WPB, Liver, peaks, released, 
ENCFF098PDX, Pancreas, peaks, released, 
ENCFF614FXN, Pancreas, peaks, released, 
ENCFF423PKK, Kidney_Cortex, peaks, released, 
ENCFF234YCQ, Kidney_Cortex, peaks, released, 
ENCFF979YXX, Brain_Caudate_basal_ganglia, peaks, released, 
ENCFF104GWF, Brain_Caudate_basal_ganglia, peaks, released, 
ENCFF251LOF, Nerve_Tibial, peaks, released, 
ENCFF695EXZ, Nerve_Tibial, peaks, released, 
ENCFF450PMT, Artery_Aorta, peaks, released, 
ENCFF005TIR, Artery_Aorta, peaks, released, 
ENCFF883MBR, Heart_Left_Ventricle, peaks, released, 
ENCFF175XJP, Heart_Left_Ventricle, peaks, released, 
ENCFF512SFD, Brain_Caudate_basal_ganglia, peaks, released, 
ENCFF303OJV, Brain_Caudate_basal_ganglia, peaks, released, 
ENCFF146OJJ, Brain_Substantia_nigra, peaks, released, 
ENCFF741ANU, Brain_Substantia_nigra, peaks, released, 
ENCFF281PPQ, Lung, peaks, released, 
ENCFF726OOO, Lung, peaks, released, 
ENCFF611LOP, Lung, peaks, released, 
ENCFF155HPU, Lung, peaks, released, 
ENCFF438QHG, Brain, peaks, released, 
ENCFF624ADN, Brain, peaks, released, 
ENCFF928EQD, Brain, peaks, released, 
ENCFF964CFA, Brain, replicated peaks, released, 
ENCFF349KSC, Brain, peaks, released, 
ENCFF793DGJ, Brain, peaks, released, 
ENCFF150MXN, Brain, peaks, released, 
ENCFF741YLR, Brain, replicated peaks, released, 
ENCFF927PZF, Artery_Aorta, peaks, archived, 
ENCFF130QQL, Artery_Aorta, peaks, released, 
ENCFF615FTE, Artery_Aorta, peaks, released, 
ENCFF459OLN, Brain, peaks, released, 
ENCFF322PRT, Brain, peaks, released, 
ENCFF802DKV, Brain, peaks, released, 
ENCFF471FFJ, Brain, replicated peaks, released, 
ENCFF136UNQ, Brain, peaks, released, 
ENCFF819NWO, Brain, peaks, released, 
ENCFF685ZSQ, Brain, peaks, released, 
ENCFF713YWB, Brain, replicated peaks, released, 
ENCFF726MMH, Adrenal_Gland, peaks, archived, 
ENCFF689RIU, Adrenal_Gland, peaks, released, 
ENCFF600INE, Adrenal_Gland, peaks, released, 
ENCFF795QOZ, Lung, peaks, released, 
ENCFF390TTN, Lung, peaks, released, 
ENCFF228UVL, Muscle_Skeletal, peaks, released, 
ENCFF635FNC, Muscle_Skeletal, peaks, released, 
ENCFF964WTO, Kidney_Cortex, peaks, archived, 
ENCFF022IVN, Kidney_Cortex, peaks, released, 
ENCFF835AOC, Kidney_Cortex, peaks, released, 
ENCFF292NGD, Stomach, peaks, archived, 
ENCFF877WPJ, Stomach, peaks, released, 
ENCFF230BUV, Stomach, peaks, released, 
ENCFF264KTW, Pancreas, peaks, released, 
ENCFF760QLB, Pancreas, peaks, released, 
ENCFF371XZG, Muscle_Skeletal, peaks, archived, 
ENCFF169WSO, Muscle_Skeletal, peaks, released, 
ENCFF874FGG, Muscle_Skeletal, peaks, released, 
ENCFF070ADS, Heart_Left_Ventricle, peaks, archived, 
ENCFF686CZA, Heart_Left_Ventricle, peaks, released, 
ENCFF657UII, Heart_Left_Ventricle, peaks, released, 
ENCFF368TAO, Brain, peaks, archived, 
ENCFF412ZGA, Brain, peaks, released, 
ENCFF552ZBZ, Brain, peaks, released, 
ENCFF886LHW, Brain_Substantia_nigra, peaks, released, 
ENCFF783KFR, Brain_Substantia_nigra, replicated peaks, released, 
ENCFF616CVY, Brain_Substantia_nigra, peaks, released, 
ENCFF806OHH, Brain_Substantia_nigra, peaks, released, 
ENCFF438IZP, Brain_Substantia_nigra, peaks, released, 
ENCFF426OMF, Brain_Substantia_nigra, peaks, released, 
ENCFF818ISZ, Brain_Substantia_nigra, replicated peaks, released, 
ENCFF325LLK, Brain_Substantia_nigra, peaks, released, 
ENCFF544WQN, Heart_Left_Ventricle, peaks, released, 
ENCFF375HXP, Heart_Left_Ventricle, peaks, released, 
ENCFF598IGI, Esophagus_Mucosa, peaks, released, 
ENCFF008QIE, Esophagus_Mucosa, peaks, released, 
ENCFF214YEC, Liver, peaks, released, 
ENCFF853XPV, Liver, peaks, released, 
ENCFF464OUS, Brain, peaks, released, 
ENCFF135WPW, Brain, peaks, released, 
