ts_N	shared_N
990421	833864
118308	833864
72993	833864
64138	833864
68354	833864
71880	833864
124723	833864
237322	833864
172271	833864
78061	833864
69588	833864
63517	833864
37075	833864
26136	833864
104864	833864
40949	833864
70002	833864
109627	833864
68508	833864
93805	833864
38616	833864
202904	833864
