K	alpha1	lambda1	coph	correlation	nfactor	optimal_run	optimal_obj
10	40	80	0.867560547403657	3.4081964468585	9.53333333333333	14	42378.2369766093
13	80	100	0.868558034453476	3.06375001916252	7.5	13	54894.286905034
19	90	50	0.86863195605153	3.41835832740925	9.63333333333333	13	46395.7380617987
17	80	70	0.868841789847428	3.27768690669276	8.76666666666667	21	49679.659186733
15	80	100	0.869519626804162	3.05006509216726	7.3	13	54842.1120780512
18	90	100	0.870105238508633	2.98627996054832	7.06666666666667	27	56904.579907836
19	80	90	0.870281471957038	3.16542143974166	8.13333333333333	18	53430.2080268253
20	90	100	0.872006476983171	2.9862765415847	6.96666666666667	28	56902.2236370073
19	60	100	0.87209245243456	3.29944448129613	8.63333333333333	6	50298.7441411652
13	90	60	0.872243044696901	3.23828081080864	8.6	18	48745.8986915421
11	90	100	0.872583273193255	3.00392105908355	7.03333333333333	14	56810.9472622399
11	100	90	0.873284964921226	2.96809281110678	6.96666666666667	8	56987.2817998547
14	70	90	0.873622282307466	3.22737699338251	8.4	8	51018.8973071819
20	100	70	0.873959354751591	3.05480662409816	7.53333333333333	25	53321.58220146
15	100	60	0.8744625192783	3.12182236744796	7.86666666666667	19	50453.5583231166
16	100	90	0.87505701558775	2.9892511561368	7.13333333333333	25	56891.6730949801
17	100	60	0.875151981195146	3.12676212208512	7.93333333333333	8	50942.9946351957
16	80	100	0.875462445441505	3.08696369186774	7.6	28	54911.5124443436
19	90	80	0.875991173445932	3.10578734318858	7.76666666666667	18	53361.9103775513
13	80	90	0.876085704338743	3.15617822405659	8	26	53290.3652278812
15	60	100	0.876333026465536	3.22950152103022	8.4	11	50254.629933368
16	80	90	0.876892696216829	3.07534771173535	7.56666666666667	29	53543.3975178176
18	90	90	0.876927688552077	3.07300377078802	7.46666666666667	29	55240.8067283095
11	40	40	0.877396382899036	3.57986661757246	10.9333333333333	5	34465.8295047542
14	70	100	0.877414063236864	3.17461640857485	8.1	19	53236.6921334064
12	100	100	0.877552817533926	2.89964006594767	6.6	2	58349.2271387187
13	90	100	0.877640846990454	2.98394322482368	6.96666666666667	17	56790.6933186482
12	70	70	0.877726126133029	3.26830481864033	8.7	16	48047.256772748
10	90	80	0.878309607524954	3.01346654131998	7.2	22	53683.7866849045
18	100	100	0.8790536649357	2.93052264198489	6.8	20	58382.4041427035
14	70	70	0.879266261706434	3.3093785235878	8.93333333333333	24	47827.7517017972
10	70	100	0.879302587650955	3.11608023087614	7.66666666666667	29	52882.2299787895
13	90	80	0.879417308802611	3.07630613882595	7.6	1	53263.0217021075
16	80	60	0.879751113955389	3.3395058244065	9.06666666666667	6	46911.8442286772
12	90	100	0.879884917103207	2.93997834769198	6.8	6	56932.0419324176
20	100	50	0.879945096522383	3.28494366022325	8.86666666666667	17	48279.6464255536
15	100	40	0.880254903214039	3.38000691845346	9.5	16	44355.0717496834
19	90	70	0.880630012051022	3.21597032489739	8.4	5	51012.8062673088
10	80	100	0.88076838559993	3.04915281514784	7.46666666666667	24	55243.5488022981
11	60	100	0.8808435138134	3.22719388527803	8.33333333333333	3	50374.7400311888
11	70	60	0.881612792572257	3.34376746972628	9.23333333333333	25	45793.4005719511
10	70	60	0.881796496099969	3.280721460231	8.8	21	46215.1551378282
16	90	50	0.882287144366864	3.35293173174958	9.26666666666667	14	46425.8785093802
12	90	90	0.88244626140172	3.00590238185159	7.16666666666667	28	55283.9312746964
14	60	90	0.88312479805886	3.34128509982741	9.06666666666667	28	48685.0047328503
16	70	80	0.883339777061215	3.30599843268563	8.96666666666667	3	48988.0319843044
12	90	10	0.883614952720814	3.65576473322245	11.7666666666667	2	28213.2400455109
17	90	90	0.883834028516678	3.01485460163976	7.2	16	55000.6546826911
11	70	90	0.883908581222566	3.15327395871478	7.93333333333333	27	51614.4563597768
16	60	90	0.884089680982127	3.3306078830562	8.96666666666667	8	48808.9146195112
10	70	70	0.884689894854064	3.24704962528629	8.56666666666667	11	48021.6697611198
16	100	50	0.885352299381895	3.27026908204043	8.8	9	47787.495599344
