1	2	3	4	5	6	7	8
Adrenal_Gland	2.2723401951941	0	0	0	0	0	0	0
Brain_Amygdala	1.58887859587908	0	2.95846502530575	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.52890121869983	0	3.94565354381021	0	0	0	0	0
Brain_Cerebellar_Hemisphere	1.53717563627219	0	4.05095878286248	0	0	0	0	0
Brain_Cortex	1.61810692063601	0	4.34640792622571	0	0	0	0	0
Brain_Hippocampus	1.44056332389893	0	3.04484061214223	0	0	0	0	0
Brain_Putamen_basal_ganglia	1.61652348562216	0	3.77558326075891	0	0	0	0	0
Brain_Spinal_cord_cervical_c-1	1.99841490400506	0	1.69551778007256	0	0	0	0	0
Colon_Transverse	1.90070122323036	0	0	8.37105781197676	0	0	0	0
Esophagus_Mucosa	1.97099316979354	0	0	0	0	0	9.69333328063445	0
Esophagus_Muscularis	1.87164524580433	0	0	0	0	0	0	7.56989639029159
Heart_Atrial_Appendage	2.06164570889986	0	0	0	0	0	0	4.20678902477019
Lung	1.79183780517708	9.40757061919227	0	0	0	0	0	0
Minor_Salivary_Gland	2.29025778085911	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.64960923056154	0	0	0	0	7.6664075589529	0	0
Skin_Sun_Exposed_Lower_leg	1.64060407256722	0	0	0	0	8.08511694667113	0	0
Small_Intestine_Terminal_Ileum	1.95652624356743	0	0	0	0	0	0	0
Spleen	2.61539379861393	0	0	0	0	0	0	0
Uterus	2.22724814181187	0	0	0	0	0	0	0
Whole_Blood	1.10453448930151	0	0	0	9.35576054404121	0	0	0
