1	2	3	4	5	6	7	8
Adrenal_Gland	2.34464606488359	0	0	0	0	0	0	0.25428959808946
Brain_Amygdala	1.56463350751054	0	0	0	0	0	0	3.24048200903613
Brain_Caudate_basal_ganglia	1.51413438936373	0	0	0	0	0	0	4.12304102952497
Brain_Cerebellar_Hemisphere	1.78701110738746	0	0	7.74484136752662	0	0	0	1.85339951123835
Brain_Cortex	1.62986675765116	0	0	0	0	0	0	4.43342260080414
Brain_Hippocampus	1.43683876636199	0	0	0	0	0	0	3.20041033514591
Brain_Putamen_basal_ganglia	1.60400648895892	0	0	0	0	0	0	3.96538550885994
Brain_Spinal_cord_cervical_c-1	1.99788531921807	0	0	0	0	0	0	2.12535231799619
Colon_Transverse	2.23995886571025	0	0	0	0	0	0	0
Esophagus_Mucosa	2.09744968848454	0	0	0	0	0	9.78347039619384	0
Esophagus_Muscularis	2.03654691244615	0	0	0	0	7.5353077969424	0	0
Heart_Atrial_Appendage	2.22942256834524	0	0	0	0	4.14063884130781	0	0
Lung	1.90562043620692	0	9.4694040059154	0	0	0	0	0
Minor_Salivary_Gland	2.46579441873404	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.60932298239994	7.84887337457793	0	0	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.61089744193447	8.13304651256975	0	0	0	0	0	0
Small_Intestine_Terminal_Ileum	2.12920683880101	0	0	0	0	0	0	0
Spleen	2.80586306047218	0	0	0	0	0	0	0
Uterus	2.38230238250957	0	0	0	0	0	0	0
Whole_Blood	1.20538713332407	0	0	0	9.20660036039477	0	0	0
