1	2	3	4	5	6	7	8	9
Adrenal_Gland	2.34012010862514	0	0	0	0	0	0	0	0
Brain_Amygdala	1.64080652441425	0	0	0	0	0	0	3.04852564338602	0
Brain_Caudate_basal_ganglia	1.58771909608361	0	0	0	0	0	0	4.06463975571206	0
Brain_Cerebellar_Hemisphere	1.86122383838824	0	0	8.10784183994209	0	0	0	1.27988049482518	0
Brain_Cortex	1.69533898374639	0	0	0	0	0	0	4.41565534899392	0
Brain_Hippocampus	1.49218032627706	0	0	0	0	0	0	3.10252865331995	0
Brain_Putamen_basal_ganglia	1.6751730464686	0	0	0	0	0	0	3.87522264826314	0
Brain_Spinal_cord_cervical_c-1	2.05985160730845	0	0	0	0	0	0	1.72922835992953	0
Colon_Transverse	1.99836708975523	0	0	0	0	0	0	0	8.24700612568175
Esophagus_Mucosa	2.06152161399617	0	0	0	0	0	9.75622757936998	0	0
Esophagus_Muscularis	1.96669576802605	0	0	0	7.46598994745754	0	0	0	0
Heart_Atrial_Appendage	2.14711562169738	0	0	0	4.10123225903504	0	0	0	0
Lung	1.90915802551232	0	0	0	0	9.36905958004871	0	0	0
Minor_Salivary_Gland	2.35962745167259	0	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.68402831608462	7.64208535310794	0	0	0	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.67490948525419	8.05093687872052	0	0	0	0	0	0	0
Small_Intestine_Terminal_Ileum	2.01143250655161	0	0	0	0	0	0	0	0
Spleen	2.6956437768296	0	0	0	0	0	0	0	0
Uterus	2.2938506367659	0	0	0	0	0	0	0	0
Whole_Blood	1.17536300481495	0	9.26864915625286	0	0	0	0	0	0
