1	2	3	4	5	6	7	8	9
Adrenal_Gland	2.38651511972375	0	0	0	0	0	0	0	0
Brain_Amygdala	1.77088537864161	2.90570534395344	0	0	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.74130838736756	3.92289711477815	0	0	0	0	0	0	0
Brain_Cerebellar_Hemisphere	1.96465780112662	0.716879803947666	0	8.64147696605084	0	0	0	0	0
Brain_Cortex	1.85850013504918	4.27639260831191	0	0	0	0	0	0	0
Brain_Hippocampus	1.61665826120432	2.9786515682013	0	0	0	0	0	0	0
Brain_Putamen_basal_ganglia	1.82676311633531	3.72706603426875	0	0	0	0	0	0	0
Brain_Spinal_cord_cervical_c-1	2.16322295969054	1.59411183761014	0	0	0	0	0	0	0
Colon_Transverse	1.99505412767078	0	0	0	0	8.35635540199376	0	0	0
Esophagus_Mucosa	2.1111030047981	0	0	0	9.81140635469526	0	0	0	0
Esophagus_Muscularis	2.07147420203267	0	0	0	0	0	0	7.5478707239818	0
Heart_Atrial_Appendage	2.2344617451511	0	0	0	0	0	0	3.96005304234392	0
Lung	1.95918933563328	0	0	0	0	0	0	0	9.2658905184528
Minor_Salivary_Gland	2.40251264638752	0	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.71180359042145	0	0	0	0	0	7.75112039303985	0	0
Skin_Sun_Exposed_Lower_leg	1.70176872872452	0	0	0	0	0	8.17276723475715	0	0
Small_Intestine_Terminal_Ileum	2.04263705785653	0	0	0	0	0	0	0	0
Spleen	2.74511245249849	0	0	0	0	0	0	0	0
Uterus	2.33629087829359	0	0	0	0	0	0	0	0
Whole_Blood	1.25505199248066	0	9.1073193635638	0	0	0	0	0	0
