1	2	3	4	5	6	7
Adrenal_Gland	2.37810377166554	0.471593118435725	0	0	0	0	0
Brain_Amygdala	1.34282275905952	3.53419591227865	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.27302144852169	4.30951509752596	0	0	0	0	0
Brain_Cerebellar_Hemisphere	1.2946852334958	4.34198328498658	0	0	0	0	0
Brain_Cortex	1.31882558968663	4.77456192041045	0	0	0	0	0
Brain_Hippocampus	1.25131125161973	3.40179862872576	0	0	0	0	0
Brain_Putamen_basal_ganglia	1.344193905053	4.26204587478739	0	0	0	0	0
Brain_Spinal_cord_cervical_c-1	1.89635205914128	2.33887338339734	0	0	0	0	0
Colon_Transverse	2.30823512970577	0	0	0	0	0	0
Esophagus_Mucosa	2.23336449226903	0	0	0	0	9.68883467230452	0
Esophagus_Muscularis	2.25006535082758	0	9.67402109386002	0	0	0	0
Heart_Atrial_Appendage	2.29938525485048	0	0	8.34477018980597	0	0	0
Lung	2.48048810464948	0	0	0	0	0	0
Minor_Salivary_Gland	2.56013723445677	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.5612406991701	0	0	0	7.81709213831985	0	0
Skin_Sun_Exposed_Lower_leg	1.55113250648066	0	0	0	8.14623457542493	0	0
Small_Intestine_Terminal_Ileum	2.20307502725644	0	0	0	0	0	0
Spleen	2.91231014849473	0	0	0	0	0	0
Uterus	2.50132944480332	0	0	0	0	0	0
Whole_Blood	1.22815785217399	0	0	0	0	0	9.34999581906787
