1	2	3	4	5	6	7	8	9
Adrenal_Gland	2.31509906489399	0	0	0	0	0	0	0	0
Brain_Amygdala	1.55668221094005	0	3.06081194329555	0	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.4750675341144	0	4.11344864910377	0	0	0	0	0	0
Brain_Cerebellar_Hemisphere	1.48054240561558	0	4.19815984332289	0	0	0	0	0	0
Brain_Cortex	1.63498642795358	0	4.02408623857631	0	0	0	0	0	0.624674408530391
Brain_Hippocampus	1.39431979528393	0	3.22605276186663	0	0	0	0	0	0
Brain_Putamen_basal_ganglia	1.55467863630291	0	4.03118035742873	0	0	0	0	0	0
Brain_Spinal_cord_cervical_c-1	1.97573620074604	0	1.8700336763921	0	0	0	0	0	0
Colon_Transverse	1.95046384688452	0	0	0	0	0	0	8.23865293150513	0
Esophagus_Mucosa	2.00559436128967	9.71744594328369	0	0	0	0	0	0	0
Esophagus_Muscularis	1.96322623684533	0	0	0	7.60320659406608	0	0	0	0
Heart_Atrial_Appendage	2.14191498081846	0	0	0	4.05456605533114	0	0	0	0
Lung	1.8258126032554	0	0	0	0	9.359657321231	0	0	0
Minor_Salivary_Gland	2.3308220736496	0	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.69258332028032	0	0	7.62177826346871	0	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.68474792840631	0	0	8.0312896304462	0	0	0	0	0
Small_Intestine_Terminal_Ileum	1.99410502885086	0	0	0	0	0	0	0	0
Spleen	2.66606842457606	0	0	0	0	0	0	0	0
Uterus	2.26971327392434	0	0	0	0	0	0	0	0
Whole_Blood	1.13098157645347	0	0	0	0	0	9.04494041960723	0	0
