1	2	3	4	5	6	7
Adrenal_Gland	2.34723696583752	0	0	0.455072420118124	0	0	0
Brain_Amygdala	1.42177336262126	0	0	3.37272789412123	0	0	0
Brain_Caudate_basal_ganglia	1.33110196187794	0	0	4.23376412110016	0	0	0
Brain_Cerebellar_Hemisphere	1.37115323828099	0	0	4.20824473233835	0	0	0
Brain_Cortex	1.41873124685403	0	0	4.59150786721475	0	0	0
Brain_Hippocampus	1.2951113622391	0	0	3.33158727036147	0	0	0
Brain_Putamen_basal_ganglia	1.42323591400779	0	0	4.11861565036667	0	0	0
Brain_Spinal_cord_cervical_c-1	1.92110909529477	0	0	2.25191465159127	0	0	0
Colon_Transverse	2.30519493489867	0	0	0	0	0	0
Esophagus_Mucosa	2.20507773743564	0	0	0	0	9.58950959764615	0
Esophagus_Muscularis	2.03039645710006	0	7.49902638876227	0	0	0	0
Heart_Atrial_Appendage	2.25501414136405	0	4.14996037226101	0	0	0	0
Lung	1.97928534143333	9.45334610418707	0	0	0	0	0
Minor_Salivary_Gland	2.5284382989202	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.72145221781364	0	0	0	7.82284793537957	0	0
Skin_Sun_Exposed_Lower_leg	1.72584934015327	0	0	0	8.10380401066593	0	0
Small_Intestine_Terminal_Ileum	2.19240084160304	0	0	0	0	0	0
Spleen	2.88249827623837	0	0	0	0	0	0
Uterus	2.44192560088543	0	0	0	0	0	0
Whole_Blood	1.28339253747848	0	0	0	0	0	9.44444174356069
