1	2	3	4	5	6	7
Adrenal_Gland	2.39097816482121	0	0.0317591861443175	0	0	0	0
Brain_Amygdala	1.55198520484962	0	3.21738794380406	0	0	0	0
Brain_Caudate_basal_ganglia	1.49856954936646	0	4.11043977633121	0	0	0	0
Brain_Cerebellar_Hemisphere	1.5104138295445	0	4.19638676867564	0	0	0	0
Brain_Cortex	1.56205607866426	0	4.60343151800393	0	0	0	0
Brain_Hippocampus	1.42396959810566	0	3.2111182899105	0	0	0	0
Brain_Putamen_basal_ganglia	1.56834196827214	0	4.03605192119935	0	0	0	0
Brain_Spinal_cord_cervical_c-1	2.01632373996132	0	1.98107850417646	0	0	0	0
Colon_Transverse	1.99389222537946	8.66759071348605	0	0	0	0	0
Esophagus_Mucosa	2.07073335081331	0	0	0	9.85237434975924	0	0
Esophagus_Muscularis	2.02898381543702	0	0	7.36296174760306	0	0	0
Heart_Atrial_Appendage	2.22067410365837	0	0	3.95495257765968	0	0	0
Lung	2.36283397928436	0	0	0	0	0	0
Minor_Salivary_Gland	2.41034963650528	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.659634213507	0	0	0	0	7.69070327071359	0
Skin_Sun_Exposed_Lower_leg	1.6450605625325	0	0	0	0	8.112378970405	0
Small_Intestine_Terminal_Ileum	2.04960998767833	0	0	0	0	0	0
Spleen	2.75140173907291	0	0	0	0	0	0
Uterus	2.37268544932035	0	0	0	0	0	0
Whole_Blood	1.07680941841875	0	0	0	0	0	9.43183708613317
