1	2	3	4	5	6	7	8	9	10
Adrenal_Gland	2.29112884791469	0	0	0	0	0	0	0	0	0
Brain_Amygdala	1.67883052624728	0	0	0	0	0	0	0	2.92225265656666	0
Brain_Caudate_basal_ganglia	1.64657957559923	0	0	0	0	0	0	0	3.92843933088592	0
Brain_Cerebellar_Hemisphere	1.86110213653301	0	0	0	0	0	0	8.63882018217814	0.746246342764234	0
Brain_Cortex	1.75434485957277	0	0	0	0	0	0	0	4.29346913778968	0
Brain_Hippocampus	1.53587302700812	0	0	0	0	0	0	0	2.97037702179609	0
Brain_Putamen_basal_ganglia	1.73200299617512	0	0	0	0	0	0	0	3.72453391927937	0
Brain_Spinal_cord_cervical_c-1	2.07611502872135	0	0	0	0	0	0	0	1.54385390999151	0
Colon_Transverse	1.93975090013577	0	0	0	0	0	8.28461667010819	0	0	0
Esophagus_Mucosa	2.00715025450349	0	0	0	9.70445190006144	0	0	0	0	0
Esophagus_Muscularis	2.04179007954945	0	0	0	0	0	0	0	0	9.73724253439419
Heart_Atrial_Appendage	2.11556855000441	0	8.20913578513908	0	0	0	0	0	0	0
Lung	1.90142029896249	9.27658931922214	0	0	0	0	0	0	0	0
Minor_Salivary_Gland	2.31342149431489	0	0	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.63255362067487	0	0	0	0	7.66012280967943	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.62530755679718	0	0	0	0	8.04807216275314	0	0	0	0
Small_Intestine_Terminal_Ileum	1.96226344159697	0	0	0	0	0	0	0	0	0
Spleen	2.63509168428137	0	0	0	0	0	0	0	0	0
Uterus	2.24894882409161	0	0	0	0	0	0	0	0	0
Whole_Blood	1.16220648000283	0	0	9.08736497122284	0	0	0	0	0	0
