1	2	3	4	5	6	7	8
Adrenal_Gland	2.3313930290747	0	0	0	0	0	0	0
Brain_Amygdala	1.64715822620202	2.93563128799463	0	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.59149380581112	3.92358199231658	0	0	0	0	0	0
Brain_Cerebellar_Hemisphere	1.60416760661413	4.01512738641376	0	0	0	0	0	0
Brain_Cortex	1.68682699983942	4.31971698655716	0	0	0	0	0	0
Brain_Hippocampus	1.49674771410426	3.02062415425595	0	0	0	0	0	0
Brain_Putamen_basal_ganglia	1.68172226632224	3.74840629278277	0	0	0	0	0	0
Brain_Spinal_cord_cervical_c-1	2.06074118579743	1.66880899620067	0	0	0	0	0	0
Colon_Transverse	1.95234162459661	0	0	8.37018538595986	0	0	0	0
Esophagus_Mucosa	2.0354275564367	0	0	0	0	0	9.68349022782233	0
Esophagus_Muscularis	1.98908190781249	0	7.38069608453656	0	0	0	0	0
Heart_Atrial_Appendage	2.15622787824788	0	4.03883794391667	0	0	0	0	0
Lung	1.95941692320045	0	0	0	0	0	0	9.29066632488928
Minor_Salivary_Gland	2.34741354182544	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.60628626741581	0	0	0	0	7.65757764448182	0	0
Skin_Sun_Exposed_Lower_leg	1.59236451481779	0	0	0	0	8.07508730209181	0	0
Small_Intestine_Terminal_Ileum	2.00353271620533	0	0	0	0	0	0	0
Spleen	2.68193690798076	0	0	0	0	0	0	0
Uterus	2.2847152296198	0	0	0	0	0	0	0
Whole_Blood	1.11794508454031	0	0	0	9.26696427447562	0	0	0
