1	2	3	4	5	6	7	8	9
Adrenal_Gland	2.31432799110422	0	0	0	0	0	0	0	0
Brain_Amygdala	1.72911141109336	0	0	2.87122848268943	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.70184705328827	0	0	3.8779430557572	0	0	0	0	0
Brain_Cerebellar_Hemisphere	1.9212349846099	8.56776270749402	0	0.749299943007944	0	0	0	0	0
Brain_Cortex	1.81464503720095	0	0	4.23464770040201	0	0	0	0	0
Brain_Hippocampus	1.57969801497737	0	0	2.94007870072618	0	0	0	0	0
Brain_Putamen_basal_ganglia	1.78481163376489	0	0	3.68050747645634	0	0	0	0	0
Brain_Spinal_cord_cervical_c-1	2.11081253807467	0	0	1.54957385293293	0	0	0	0	0
Colon_Transverse	1.95248718892183	0	0	0	8.38643007693713	0	0	0	0
Esophagus_Mucosa	2.01847009613114	0	9.8582107764555	0	0	0	0	0	0
Esophagus_Muscularis	1.98864485580009	0	0	0	0	0	0	0	7.50378570133951
Heart_Atrial_Appendage	2.14593287040147	0	0	0	0	0	0	0	4.12238853866271
Lung	1.87875146481615	0	0	0	0	0	9.4234160454971	0	0
Minor_Salivary_Gland	2.32982925829699	0	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.42231704248418	0	0	0	0	0	0	7.72477814614943	0
Skin_Sun_Exposed_Lower_leg	1.39983554528412	0	0	0	0	0	0	8.14098378361685	0
Small_Intestine_Terminal_Ileum	1.98382205408474	0	0	0	0	0	0	0	0
Spleen	2.66037857724568	0	0	0	0	0	0	0	0
Uterus	2.26718708937726	0	0	0	0	0	0	0	0
Whole_Blood	1.11673160150856	0	0	0	0	9.18013891608636	0	0	0
