1	2	3	4	5	6	7	8
Adrenal_Gland	2.35395541834376	0	0	0	0	0	0	0
Brain_Amygdala	1.60740464513035	0	3.01353864176929	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.53646196012279	0	4.01101739892053	0	0	0	0	0
Brain_Cerebellar_Hemisphere	1.55046079211075	0	4.09115513952276	0	0	0	0	0
Brain_Cortex	1.62662365791785	0	4.4105129515146	0	0	0	0	0
Brain_Hippocampus	1.45489319514913	0	3.09621459694964	0	0	0	0	0
Brain_Putamen_basal_ganglia	1.62789809713553	0	3.84284983340775	0	0	0	0	0
Brain_Spinal_cord_cervical_c-1	2.0414926619408	0	1.74963765878865	0	0	0	0	0
Colon_Transverse	1.99020207047674	0	0	0	0	8.21768508752502	0	0
Esophagus_Mucosa	2.06985597494759	9.677512570927	0	0	0	0	0	0
Esophagus_Muscularis	1.99653264322486	0	0	0	0	0	7.60683415473307	0
Heart_Atrial_Appendage	2.17777751982195	0	0	0	0	0	4.04884421927578	0
Lung	1.87644493898311	0	0	9.34396548520473	0	0	0	0
Minor_Salivary_Gland	2.37198069989048	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.77689212200489	0	0	0	7.59902333529884	0	0	0
Skin_Sun_Exposed_Lower_leg	1.77167830335632	0	0	0	8.01089067582831	0	0	0
Small_Intestine_Terminal_Ileum	2.0254340858922	0	0	0	0	0	0	0
Spleen	2.71067487638516	0	0	0	0	0	0	0
Uterus	2.30547934792966	0	0	0	0	0	0	0
Whole_Blood	1.14651972563772	0	0	0	0	0	0	9.26893293901308
