1	2	3	4	5	6	7
Adrenal_Gland	2.31146535907858	0	0.492337965972047	0	0	0	0
Brain_Amygdala	1.33290975599561	0	3.51439821999278	0	0	0	0
Brain_Caudate_basal_ganglia	1.25130694165648	0	4.35632311984723	0	0	0	0
Brain_Cerebellar_Hemisphere	1.26945270504613	0	4.37806833530876	0	0	0	0
Brain_Cortex	1.3941644664847	0	4.377365098828	0.621880297610983	0	0	0
Brain_Hippocampus	1.21920780710607	0	3.47667347036999	0	0	0	0
Brain_Putamen_basal_ganglia	1.30557496826942	0	4.38838130790115	0	0	0	0
Brain_Spinal_cord_cervical_c-1	1.83605415181024	0	2.42165895072563	0	0	0	0
Colon_Transverse	2.24739154590073	0	0	0	0	0	0
Esophagus_Mucosa	2.11731155973344	0	0	0	0	9.76887006834481	0
Esophagus_Muscularis	2.07108561846963	7.40646119508408	0	0	0	0	0
Heart_Atrial_Appendage	2.27737768018106	3.94786084199127	0	0	0	0	0
Lung	2.41352257683962	0	0	0	0	0	0
Minor_Salivary_Gland	2.48871380609263	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.70057189707553	0	0	0	0	0	7.83422218925672
Skin_Sun_Exposed_Lower_leg	1.70002892904296	0	0	0	0	0	8.15187614986966
Small_Intestine_Terminal_Ileum	2.14299090642678	0	0	0	0	0	0
Spleen	2.83122125692581	0	0	0	0	0	0
Uterus	2.43556926944812	0	0	0	0	0	0
Whole_Blood	1.20165480995902	0	0	0	9.3782063187507	0	0
