1	2	3	4	5	6	7	8	9	10
Adrenal_Gland	2.47933772467747	0	0	0	0	0	0	0	0	0
Brain_Amygdala	1.72107997366427	0	0	0	0	3.03411484024866	0	0	0	0
Brain_Caudate_basal_ganglia	1.65675209709724	0	0	0	0	4.10581230455496	0	0	0	0
Brain_Cerebellar_Hemisphere	1.66788840181592	0	0	0	0	4.17367943731873	0	0	0	0
Brain_Cortex	1.82804329502858	0	0	0	0	4.01321733181881	0	0.62505904425402	0	0
Brain_Hippocampus	1.55574235698792	0	0	0	0	3.20099763337381	0	0	0	0
Brain_Putamen_basal_ganglia	1.74198854417511	0	0	0	0	4.01300561167956	0	0	0	0
Brain_Spinal_cord_cervical_c-1	2.1601505122834	0	0	0	0	1.77940445662664	0	0	0	0
Colon_Transverse	2.09788653677471	0	0	0	0	0	0	0	8.18082515666517	0
Esophagus_Mucosa	2.19552612269752	0	0	0	0	0	9.66648314259507	0	0	0
Esophagus_Muscularis	2.25604541803601	0	0	0	0	0	0	0	0	9.78754080271449
Heart_Atrial_Appendage	2.31229048407571	8.16173934229311	0	0	0	0	0	0	0	0
Lung	1.99675735494669	0	0	0	9.09654675508014	0	0	0	0	0
Minor_Salivary_Gland	2.49781132055923	0	0	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.83011560835377	0	0	7.81533560695223	0	0	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.8242209996436	0	0	8.22977686130373	0	0	0	0	0	0
Small_Intestine_Terminal_Ileum	2.12819651749529	0	0	0	0	0	0	0	0	0
Spleen	2.85532611800161	0	0	0	0	0	0	0	0	0
Uterus	2.42673839426333	0	0	0	0	0	0	0	0	0
Whole_Blood	1.3076428267095	0	8.6603663367705	0	0	0	0	0	0	0
