1	2	3	4	5	6	7
Adrenal_Gland	2.3045527243123	0	0	0	0	0.434746238215388	0
Brain_Amygdala	1.47250255424934	0	0	0	0	3.34672318215506	0
Brain_Caudate_basal_ganglia	1.41652259557537	0	0	0	0	4.2025031196764	0
Brain_Cerebellar_Hemisphere	1.43203336349161	0	0	0	0	4.24453341040639	0
Brain_Cortex	1.55833826469241	0	0	0	0	4.2277836379403	0.614979017524891
Brain_Hippocampus	1.35167690012611	0	0	0	0	3.34269176167526	0
Brain_Putamen_basal_ganglia	1.47377726033041	0	0	0	0	4.21855634871252	0
Brain_Spinal_cord_cervical_c-1	1.92655528171744	0	0	0	0	2.27908098931658	0
Colon_Transverse	2.21120854868615	0	0	0	0	0	0
Esophagus_Mucosa	2.07982154105416	9.7997220653567	0	0	0	0	0
Esophagus_Muscularis	2.03618242223163	0	0	0	7.35341962138595	0	0
Heart_Atrial_Appendage	2.24016195911975	0	0	0	3.91950865053627	0	0
Lung	2.37404886065613	0	0	0	0	0	0
Minor_Salivary_Gland	2.45086853641948	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.56090273578678	0	7.8698025658067	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.55569034320401	0	8.18860669649426	0	0	0	0
Small_Intestine_Terminal_Ileum	2.108251265654	0	0	0	0	0	0
Spleen	2.78590154089673	0	0	0	0	0	0
Uterus	2.39944397487552	0	0	0	0	0	0
Whole_Blood	0.981004723260417	0	0	9.37503515673573	0	0	0
