1	2	3	4	5	6	7	8	9
Adrenal_Gland	2.49282485264376	0	0	0	0	0	0	0	0
Brain_Amygdala	2.49048849378023	0	0	0	0	0	0	0	0
Brain_Caudate_basal_ganglia	2.609010846225	0.238095533464909	0	0	0	0	0	0	0
Brain_Cerebellar_Hemisphere	2.56524793052534	0	0	7.20702379925355	0	0	0	0	0
Brain_Cortex	2.75299906045898	0.698337044848402	0	0	0	0	0	0	0
Brain_Hippocampus	2.32601347526622	0.0187310532259654	0	0	0	0	0	0	0
Brain_Putamen_basal_ganglia	2.6911325148349	0.0758448087655127	0	0	0	0	0	0	0
Brain_Spinal_cord_cervical_c-1	2.61104481442136	0	0	0	0	0	0	0	0
Colon_Transverse	1.84688205287969	0	0	0	0	0	6.41175971646653	0	0
Esophagus_Mucosa	1.94772453640832	0	0	0	0	0	0	0	11.0255835156311
Esophagus_Muscularis	2.03202066103427	0	0	0	0	0	0	6.99554742204061	0
Heart_Atrial_Appendage	2.06531544109759	0	0	0	0	0	0	5.87693999982094	0
Lung	1.77337595854405	0	0	0	7.04248222045269	0	0	0	0
Minor_Salivary_Gland	2.43941034505932	0	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.68166017965128	0	8.25807725671251	0	0	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.72584046672261	0	8.25971362523695	0	0	0	0	0	0
Small_Intestine_Terminal_Ileum	1.7854208536217	0	0	0	0	0	4.64856552328211	0	0
Spleen	2.28574468419109	0	0	0	5.24744400965021	0	0	0	0
Uterus	2.42898863862036	0	0	0	0	0	0	0	0
Whole_Blood	1.14696542434786	0	0	0	0	10.2648918164177	0	0	0
