1	2	3	4	5	6	7	8	9
Adrenal_Gland	2.29190196281052	0	0	0	0	0	0	0	0
Brain_Amygdala	1.64008353181616	0	2.90057301210949	0	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.59347832851874	0	3.87871176787782	0	0	0	0	0	0
Brain_Cerebellar_Hemisphere	1.60109226766542	0	3.99365023198693	0	0	0	0	0	0
Brain_Cortex	1.6866575718408	0	4.28433876992838	0	0	0	0	0	0
Brain_Hippocampus	1.49444567684014	0	2.98062549648006	0	0	0	0	0	0
Brain_Putamen_basal_ganglia	1.68218136510965	0	3.69913548376122	0	0	0	0	0	0
Brain_Spinal_cord_cervical_c-1	2.04516457758579	0	1.6057687726531	0	0	0	0	0	0
Colon_Transverse	1.93046881612698	0	0	0	0	8.30481659901973	0	0	0
Esophagus_Mucosa	1.99422338538362	0	0	0	0	0	9.67907548601652	0	0
Esophagus_Muscularis	2.02219448862134	0	0	0	0	0	0	9.86866851989022	0
Heart_Atrial_Appendage	2.11762384488552	0	0	8.16359236878181	0	0	0	0	0
Lung	1.83928619625579	9.15263444558383	0	0	0	0	0	0	0
Minor_Salivary_Gland	2.31213104268673	0	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.6731526649689	0	0	0	7.72779334239515	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.66714306555226	0	0	0	8.12900650350753	0	0	0	0
Small_Intestine_Terminal_Ileum	1.96807255924445	0	0	0	0	0	0	0	0
Spleen	2.63563649717158	0	0	0	0	0	0	0	0
Uterus	2.24804624825388	0	0	0	0	0	0	0	0
Whole_Blood	1.12817972315644	0	0	0	0	0	0	0	9.10599722771321
