1	2	3	4	5	6	7	8	9
Adrenal_Gland	2.3457749957096	0	0	0	0	0	0	0	0
Brain_Amygdala	1.58706182799275	0	3.0485548687215	0	0	0	0	0	0
Brain_Caudate_basal_ganglia	1.50865919294781	0	4.09831355277091	0	0	0	0	0	0
Brain_Cerebellar_Hemisphere	1.51561786768368	0	4.17885748414631	0	0	0	0	0	0
Brain_Cortex	1.67099304394034	0	4.00814116093844	0	0.623324601962844	0	0	0	0
Brain_Hippocampus	1.42479253740522	0	3.21007101339495	0	0	0	0	0	0
Brain_Putamen_basal_ganglia	1.58911024360924	0	4.01491126860081	0	0	0	0	0	0
Brain_Spinal_cord_cervical_c-1	2.01015823734092	0	1.85229183731756	0	0	0	0	0	0
Colon_Transverse	2.0009528396556	0	0	0	0	0	0	8.1764370935407	0
Esophagus_Mucosa	2.04611442889144	0	0	0	0	0	9.67687643868738	0	0
Esophagus_Muscularis	1.97661148594161	0	0	0	0	7.57071206563014	0	0	0
Heart_Atrial_Appendage	2.15972635118889	0	0	0	0	4.09294637092723	0	0	0
Lung	1.88707276192582	0	0	0	0	0	0	0	9.31746518033763
Minor_Salivary_Gland	2.36153256711518	0	0	0	0	0	0	0	0
Skin_Not_Sun_Exposed_Suprapubic	1.63019138994644	7.70210576038119	0	0	0	0	0	0	0
Skin_Sun_Exposed_Lower_leg	1.61753542250555	8.11766411415545	0	0	0	0	0	0	0
Small_Intestine_Terminal_Ileum	2.02065043844336	0	0	0	0	0	0	0	0
Spleen	2.70182739791795	0	0	0	0	0	0	0	0
Uterus	2.29913977617904	0	0	0	0	0	0	0	0
Whole_Blood	1.16233762661677	0	0	9.09772723031326	0	0	0	0	0
