Adipose_Subcutaneous	Adipose-Subcutaneous
Adipose_Visceral_Omentum	Adipose-Visceral(Omentum)
Adrenal_Gland	AdrenalGland
Artery_Aorta	Artery-Aorta
Artery_Coronary	Artery-Coronary
Artery_Tibial	Artery-Tibial
Brain_Amygdala	Brain-Amygdala
Brain_Anterior_cingulate_cortex_BA24	Brain-Anteriorcingulatecortex(BA24)
Brain_Caudate_basal_ganglia	Brain-Caudate(basalganglia)
Brain_Cerebellar_Hemisphere	Brain-CerebellarHemisphere
Brain_Cerebellum	Brain-Cerebellum
Brain_Cortex	Brain-Cortex
Brain_Frontal_Cortex_BA9	Brain-FrontalCortex(BA9)
Brain_Hippocampus	Brain-Hippocampus
Brain_Hypothalamus	Brain-Hypothalamus
Brain_Nucleus_accumbens_basal_ganglia	Brain-Nucleusaccumbens(basalganglia)
Brain_Putamen_basal_ganglia	Brain-Putamen(basalganglia)
Brain_Spinal_cord_cervical_c-1	Brain-Spinalcord(cervicalc-1)
Brain_Substantia_nigra	Brain-Substantianigra
Breast_Mammary_Tissue	Breast-MammaryTissue
Cells_EBV-transformed_lymphocytes	Cells-EBV-transformedlymphocytes
Cells_Cultured_fibroblasts	Cells-Culturedfibroblasts
Colon_Sigmoid	Colon-Sigmoid
Colon_Transverse	Colon-Transverse
Esophagus_Gastroesophageal_Junction	Esophagus-GastroesophagealJunction
Esophagus_Mucosa	Esophagus-Mucosa
Esophagus_Muscularis	Esophagus-Muscularis
Heart_Atrial_Appendage	Heart-AtrialAppendage
Heart_Left_Ventricle	Heart-LeftVentricle
Kidney_Cortex	Kidney-Cortex
Liver	Liver
Lung	Lung
Minor_Salivary_Gland	MinorSalivaryGland
Muscle_Skeletal	Muscle-Skeletal
Nerve_Tibial	Nerve-Tibial
Ovary	Ovary
Pancreas	Pancreas
Pituitary	Pituitary
Prostate	Prostate
Skin_Not_Sun_Exposed_Suprapubic	Skin-NotSunExposed(Suprapubic)
Skin_Sun_Exposed_Lower_leg	Skin-SunExposed(Lowerleg)
Small_Intestine_Terminal_Ileum	SmallIntestine-TerminalIleum
Spleen	Spleen
Stomach	Stomach
Testis	Testis
Thyroid	Thyroid
Uterus	Uterus
Vagina	Vagina
Whole_Blood	WholeBlood
