ENCFF791FTT, adrenal gland, stable peaks,
ENCFF228FJJ, thyroid gland, stable peaks, missing control alignments
ENCFF280GAS, thyroid gland, stable peaks, missing control alignments
ENCFF876MVW, liver, stable peaks,
ENCFF874ZJI, liver, stable peaks,
ENCFF555AYT, kidney, stable peaks,
ENCFF917SIV, kidney, stable peaks,
ENCFF127EFK, cerebellum, stable peaks, missing antibody
ENCFF938RRM, cerebellum, stable peaks, missing antibody
ENCFF991IDW, caudate nucleus, stable peaks,
ENCFF342UHX, caudate nucleus, stable peaks,
ENCFF711NAW, thyroid gland, replicated peaks,
ENCFF612FNE, thyroid gland, replicated peaks,
ENCFF300ZGH, endocrine pancreas, peaks, extremely low read depth
ENCFF175QZY, endocrine pancreas, stable peaks, extremely low read depth
ENCFF348BCT, endocrine pancreas, peaks, extremely low read depth
ENCFF549AXA, endocrine pancreas, stable peaks, extremely low read depth
ENCFF071XMA, lower leg skin, replicated peaks,
ENCFF496WOM, lower leg skin, replicated peaks,
ENCFF221JVE, lung, stable peaks,
ENCFF043ZXO, lung, stable peaks,
ENCFF235QPP, lung, stable peaks,
ENCFF441BBR, lung, stable peaks,
ENCFF335HTD, layer of hippocampus, stable peaks,
ENCFF992CFR, layer of hippocampus, stable peaks,
ENCFF928OBQ, liver, stable peaks,
ENCFF445TVA, liver, stable peaks,
ENCFF886HCQ, aorta, stable peaks,
ENCFF455KIC, aorta, stable peaks,
ENCFF725PPL, layer of hippocampus, stable peaks,
ENCFF915BFW, layer of hippocampus, stable peaks,
ENCFF474YFO, heart right ventricle, stable peaks,
ENCFF491YHG, heart right ventricle, stable peaks,
ENCFF469EEB, heart right ventricle, stable peaks,
ENCFF786ACC, heart right ventricle, stable peaks,
ENCFF783HFC, psoas muscle, stable peaks,
ENCFF752TJY, psoas muscle, stable peaks,
ENCFF197CZF, sigmoid colon, stable peaks,
ENCFF230WTE, sigmoid colon, stable peaks,
ENCFF529LNN, mucosa of stomach, stable peaks,
ENCFF881KYQ, mucosa of stomach, stable peaks,
ENCFF320JHG, ovary, stable peaks,
ENCFF463CXA, ovary, stable peaks,
ENCFF295HHI, cingulate gyrus, stable peaks,
ENCFF999UWI, cingulate gyrus, stable peaks,
ENCFF232JVH, esophagus, stable peaks,
ENCFF350WAT, esophagus, stable peaks,
ENCFF631ETT, substantia nigra, stable peaks,
ENCFF559XGD, substantia nigra, stable peaks,
ENCFF116CRQ, heart, stable peaks,
ENCFF669SXT, heart, stable peaks,
ENCFF213LSU, small intestine, stable peaks,
ENCFF011QCH, small intestine, stable peaks,
