ts_N	shared_N
590537	990052
103742	990052
85493	990052
84425	990052
70117	990052
60262	990052
66350	990052
38629	990052
154642	990052
57022	990052
51182	990052
61587	990052
42365	990052
22320	990052
60197	990052
46168	990052
66968	990052
79121	990052
52081	990052
57151	990052
90448	990052
171451	990052
