K	alpha1	lambda1	coph	correlation	nfactor	run_optimal	obj_optimal
5	2	1	0.354205904326987	1.07034720051709	1.16666666666667	1	151.728306063103
5	2	1	0.354205904326987	1.07034720051709	1.16666666666667	1	151.728306063103
5	1	3	0.378037375791853	1.08212964784336	1.16666666666667	3	142.704205936404
5	1	3	0.378037375791853	1.08212964784336	1.16666666666667	3	142.704205936404
5	0.8	0.8	0.55286430061321	2.04836994960187	3.2	21	75.1748005155209
9	1	1	0.616484724747838	2.13636482107955	3.56666666666667	7	79.1972233282536
9	1	1	0.616484724747838	2.13636482107955	3.56666666666667	7	79.1972233282536
9	1	1	0.616484724747838	2.13636482107955	3.56666666666667	7	79.1972233282536
9	1	1	0.616484724747838	2.13636482107955	3.56666666666667	7	79.1972233282536
5	0.5	0.8	0.619965284543983	2.22287455284589	3.7	20	52.4893110750891
6	0.8	0.6	0.628677083370524	2.2393935580201	3.6	21	58.8175775625929
5	0.6	0.9	0.644221486695369	2.18998832423575	3.53333333333333	8	60.2034834777683
8	0.1	0.7	0.656584071713303	2.70854138082546	5.13333333333333	24	26.806664855171
5	0.7	0.9	0.663697971619985	2.05982179686545	3.3	29	65.0914589769098
6	0.7	0.8	0.667490107694324	2.27943232373403	3.9	5	61.4629006614643
7	0.9	0.8	0.672056929740721	2.28480476784501	3.83333333333333	14	69.0122112102396
6	1	0.9	0.673122924731492	2.09140232036441	3.4	28	76.2429242445521
6	1	0.9	0.673122924731492	2.09140232036441	3.4	28	76.2429242445521
6	0.8	0.5	0.679068293289131	2.2673024455573	3.8	14	54.698996941406
5	0.7	0.7	0.681895188989837	2.17408599846155	3.66666666666667	27	58.1443571169639
5	0.6	0.7	0.685526344208962	2.26601488741531	3.8	21	54.7194430639509
8	0.9	0.7	0.694281752756625	2.27950412563806	3.9	10	65.4728572565181
8	0.1	0.9	0.700110576978371	2.70736564526212	5.1	24	29.9433691863756
9	0.1	0.7	0.702854255167937	2.69820640545571	5.16666666666667	9	26.9676785581532
8	0.9	0.9	0.703391356000031	2.20752452885156	3.7	29	72.3593664005185
6	0.5	1	0.704143678372175	2.34981043166146	3.96666666666667	18	57.5687084438331
6	0.5	1	0.704143678372175	2.34981043166146	3.96666666666667	18	57.5687084438331
8	1	0.9	0.704240941862712	2.1641373024885	3.66666666666667	27	76.0253066333871
8	1	0.9	0.704240941862712	2.1641373024885	3.66666666666667	27	76.0253066333871
7	0.1	0.6	0.70427341224137	2.82910053410274	5.26666666666667	1	25.1158019593003
7	0.7	1	0.705453974374966	2.30714765215481	3.96666666666667	18	67.1550263627693
7	0.7	1	0.705453974374966	2.30714765215481	3.96666666666667	18	67.1550263627693
8	0.1	0.8	0.707740490355077	2.68839442754053	5.06666666666667	14	28.4323736865415
6	1	1	0.707856137615464	1.97443867545937	3	14	79.7411037623894
6	1	1	0.707856137615464	1.97443867545937	3	14	79.7411037623894
6	1	1	0.707856137615464	1.97443867545937	3	14	79.7411037623894
6	1	1	0.707856137615464	1.97443867545937	3	14	79.7411037623894
7	0.9	0.7	0.708074235513454	2.34102969986036	4	23	65.3671673651582
5	0.9	0.2	0.711519103069956	2.30055942789887	3.8	25	40.093987990605
5	0.9	0.3	0.712204463848438	2.2266831679232	3.53333333333333	3	47.4284779890823
5	0.7	0.4	0.712329678718059	2.30752735826176	3.83333333333333	6	47.2860218217558
6	0.9	0.6	0.716654842187965	2.13649422594757	3.6	12	61.8904298439241
5	0.8	0.2	0.71800792919995	2.34418667881995	3.93333333333333	26	38.2906370879829
5	0.9	0.4	0.719700642198945	2.11867246718101	3.3	13	53.5059204589893
7	1	0.7	0.723790082835113	2.10591785193298	3.36666666666667	13	68.6631511621455
7	1	0.7	0.723790082835113	2.10591785193298	3.36666666666667	13	68.6631511621455
5	0.6	0.4	0.725857885367274	2.34403131851262	4.03333333333333	25	43.665048171991
7	0.1	1	0.727803574259381	2.70903928790858	5.03333333333333	14	31.3648661910936
7	0.1	1	0.727803574259381	2.70903928790858	5.03333333333333	14	31.3648661910936
5	0.1	0.8	0.72797964719648	2.73376141923044	4.86666666666667	23	28.8152047476042
6	0.8	0.7	0.729929238024792	2.22693001381663	3.73333333333333	4	62.0341272300058
5	0.6	0.6	0.731242183332773	2.22128707156144	3.66666666666667	15	51.445600613737
6	0.9	0.2	0.735777108483264	2.37607890741572	4	2	39.9653337674667
5	0.8	0.3	0.739423724285402	2.23578094167372	3.63333333333333	13	44.0623012325323
7	0.1	0.9	0.740372081283015	2.73367066436869	5.1	5	30.2648738425699
8	1	0.5	0.742028968500935	2.28538574246755	3.9	9	59.5757373042609
8	1	0.5	0.742028968500935	2.28538574246755	3.9	9	59.5757373042609
7	0.6	0.7	0.744012934237243	2.39107232730784	4.13333333333333	28	54.0930336739341
5	0.8	0.5	0.745180717693508	2.20329716988626	3.56666666666667	8	54.7653061990363
5	0.8	0.9	0.745916543582463	1.98155231383638	3	12	78.5736845958799
8	1	0.7	0.748725141283543	2.29210725416957	4	30	68.516982432128
8	1	0.7	0.748725141283543	2.29210725416957	4	30	68.516982432128
5	0.9	0.9	0.752019890619635	1.91361017297659	2.9	14	81.795458513511
8	1	0.8	0.755579879957098	2.20821354702222	3.76666666666667	26	72.5586969339098
