K	alpha1	lambda1	coph	correlation	nfactor	run_optimal	obj_optimal
8	1	0.8	0.755579879957098	2.20821354702222	3.76666666666667	26	72.5586969339098
9	0.9	1	0.758146541587741	2.3181867029051	4.03333333333333	26	75.506715331749
9	0.9	1	0.758146541587741	2.3181867029051	4.03333333333333	26	75.506715331749
7	1	1	0.759705925101644	2.10257134967819	3.4	13	79.3382854058738
7	1	1	0.759705925101644	2.10257134967819	3.4	13	79.3382854058738
7	1	1	0.759705925101644	2.10257134967819	3.4	13	79.3382854058738
7	1	1	0.759705925101644	2.10257134967819	3.4	13	79.3382854058738
5	0.5	0.7	0.762521941505244	2.29310665802863	3.96666666666667	22	50.3411894531995
8	1	0.6	0.766159213320184	2.31186688337611	3.96666666666667	13	64.5880120005357
8	1	0.6	0.766159213320184	2.31186688337611	3.96666666666667	13	64.5880120005357
8	0.1	1	0.769094071862302	2.74366336257077	5.1	10	31.0934803410314
8	0.1	1	0.769094071862302	2.74366336257077	5.1	10	31.0934803410314
6	0.6	0.7	0.769663504872551	2.34424202966225	4.06666666666667	21	54.2244847745986
5	0.3	0.8	0.769830158447325	2.49693312442234	4.4	26	42.7180009269459
7	1	0.2	0.771850677185643	2.33477164859403	3.93333333333333	8	43.1514036340587
7	1	0.2	0.771850677185643	2.33477164859403	3.93333333333333	8	43.1514036340587
9	0.9	0.9	0.773555174528974	2.26224361635364	3.9	12	72.3486201201462
9	1	0.7	0.776579976393774	2.28509479522419	3.96666666666667	9	68.656684979562
9	1	0.7	0.776579976393774	2.28509479522419	3.96666666666667	9	68.656684979562
5	0.1	0.6	0.776917644302326	2.76990412269626	4.93333333333333	6	25.6949526823706
6	1	0.1	0.777110249556704	2.4324337828001	4.16666666666667	4	36.4680157673579
6	1	0.1	0.777110249556704	2.4324337828001	4.16666666666667	4	36.4680157673579
8	0.9	0.6	0.77901485370066	2.34324142383933	4	24	61.4497790629985
5	1	2	0.779477784293984	1.46246217978829	1.96666666666667	29	113.206290587918
5	1	2	0.779477784293984	1.46246217978829	1.96666666666667	29	113.206290587918
8	0.8	1	0.78032338050775	2.22061041975024	3.76666666666667	26	71.710677740717
8	0.8	1	0.78032338050775	2.22061041975024	3.76666666666667	26	71.710677740717
7	0.8	0.5	0.781994165104062	2.33311900593438	4.1	25	54.6725075284981
6	0.1	0.8	0.782777219335863	2.74110064253386	5.03333333333333	6	28.3940032070063
7	0.1	0.5	0.785981938916729	2.87675708803218	5.36666666666667	7	24.2114793720167
9	0.7	0.9	0.786214068216456	2.42845521286074	4.3	28	64.3433563573485
8	0.1	0.5	0.789558039790609	2.83085826362013	5.36666666666667	4	23.8935966897825
6	0.1	1	0.789834545280159	2.71450351526948	4.96666666666667	1	31.4094261321501
6	0.1	1	0.789834545280159	2.71450351526948	4.96666666666667	1	31.4094261321501
7	1	0.6	0.790228039380399	2.19041295994785	3.6	7	64.952844920744
7	1	0.6	0.790228039380399	2.19041295994785	3.6	7	64.952844920744
5	1	1	0.793810631337729	1.82223319971654	2.66666666666667	30	88.1773608052458
5	1	1	0.793810631337729	1.82223319971654	2.66666666666667	30	88.1773608052458
5	1	1	0.793810631337729	1.82223319971654	2.66666666666667	30	88.1773608052458
5	1	1	0.793810631337729	1.82223319971654	2.66666666666667	30	88.1773608052458
8	0.8	0.8	0.794082835047062	2.40588730117865	4.33333333333333	12	65.1589546989946
5	0.1	0.7	0.795621845893149	2.74886630438076	4.96666666666667	16	26.888791433851
6	0.8	1	0.795754595432721	2.13246083151881	3.5	22	71.3913295377422
6	0.8	1	0.795754595432721	2.13246083151881	3.5	22	71.3913295377422
5	0.7	0.2	0.796690584425176	2.38925470700891	4.16666666666667	16	36.085119007823
6	1	0.5	0.796813970260701	2.07735030741061	3.36666666666667	3	61.0751537161814
6	1	0.5	0.796813970260701	2.07735030741061	3.36666666666667	3	61.0751537161814
6	0.9	0.3	0.797533641409228	2.4190309100438	4.16666666666667	14	46.0701920986855
5	0.9	0.5	0.799225638389292	2.15655847001759	3.43333333333333	30	56.4012091149546
5	0.5	0.5	0.801133023853378	2.36023596266818	4.1	8	43.9397936369663
6	0.1	0.7	0.802664988241656	2.76368968655614	5.06666666666667	7	27.220128252707
6	1	0.2	0.804479873175153	2.3839222254904	4.06666666666667	25	41.1583838832127
6	1	0.2	0.804479873175153	2.3839222254904	4.06666666666667	25	41.1583838832127
5	0.7	0.5	0.804639158779673	2.24771622466734	3.66666666666667	30	51.8928410579782
6	0.5	0.6	0.805322222208969	2.48577084445867	4.46666666666667	16	47.2843615606285
5	0.7	0.3	0.805963657210123	2.32216430838474	3.9	3	42.6631413117801
6	0.2	0.9	0.80599091323772	2.68655261917384	4.93333333333333	2	38.1061410717966
7	0.1	0.7	0.805991431023968	2.7207776753309	5.1	27	26.7391299000425
9	0.8	0.9	0.806225229602551	2.41769746851581	4.33333333333333	18	68.4549309287329
6	0.1	0.9	0.807016012816916	2.82935431096764	5.13333333333333	4	29.5906241427578
5	0.5	0.4	0.807057259820417	2.45229856447138	4.3	8	40.6984201467794
5	0.9	0.1	0.808604727325021	2.44893889033068	4.23333333333333	17	35.2245247968275
5	0.8	0.1	0.80899401989851	2.44575679676973	4.16666666666667	28	33.5199292848787
7	0.9	0.9	0.809644382675675	2.1650505415835	3.63333333333333	11	72.4023378713498
9	0.9	0.8	0.809701334287771	2.43011121384872	4.36666666666667	14	68.7869418537316
9	1	0.9	0.810298721536856	2.19538488301976	3.73333333333333	16	75.8355946793321
9	1	0.9	0.810298721536856	2.19538488301976	3.73333333333333	16	75.8355946793321
5	0.6	0.5	0.811112564007361	2.31266175889806	3.9	30	47.5263633541167
7	0.1	0.2	0.811196910289685	3.29865220626202	6.46666666666667	20	18.3666620262131
9	0.1	0.6	0.811229154283785	2.66793362242671	5.1	3	25.4091130471113
7	0.8	1	0.81197766003876	2.16402262012294	3.6	15	71.8344931977968
7	0.8	1	0.81197766003876	2.16402262012294	3.6	15	71.8344931977968
9	0.9	0.7	0.812031077611762	2.42439010469706	4.23333333333333	8	65.0880885739962
5	0.3	0.4	0.812533178922254	2.58975678609411	4.7	14	32.8952316196999
6	0.7	0.7	0.814959668211617	2.25669071555436	3.86666666666667	2	58.0647772357558
8	1	1	0.815618510369132	2.09695235972961	3.5	19	79.5263584787944
8	1	1	0.815618510369132	2.09695235972961	3.5	19	79.5263584787944
8	1	1	0.815618510369132	2.09695235972961	3.5	19	79.5263584787944
8	1	1	0.815618510369132	2.09695235972961	3.5	19	79.5263584787944
5	0.8	0.6	0.816385663291039	2.20668373000765	3.53333333333333	3	58.6573222107462
6	1	0.7	0.816988002967095	1.98922362964858	3.13333333333333	22	69.2354045756743
6	1	0.7	0.816988002967095	1.98922362964858	3.13333333333333	22	69.2354045756743
5	0.6	0.8	0.817470320893998	2.13560230712093	3.53333333333333	17	57.5966100772995
5	0.3	0.6	0.818420070803682	2.53232515131415	4.5	27	38.013870495783
5	0.6	0.3	0.818725477009867	2.3473837405711	4	14	39.9949310145505
8	0.9	0.8	0.819822296793721	2.31767195886009	4.06666666666667	24	68.8800315546747
7	0.9	0.6	0.819920222707798	2.23207947632759	3.8	12	61.6123873686739
7	1	0.9	0.820293196703347	2.17005953375098	3.56666666666667	13	75.9159569407135
7	1	0.9	0.820293196703347	2.17005953375098	3.56666666666667	13	75.9159569407135
7	1	0.4	0.820441945259537	2.2940026618548	3.93333333333333	16	55.5606641276028
7	1	0.4	0.820441945259537	2.2940026618548	3.93333333333333	16	55.5606641276028
8	0.9	1	0.821033396501631	2.25448400775071	3.9	28	75.5492732585902
8	0.9	1	0.821033396501631	2.25448400775071	3.9	28	75.5492732585902
7	0.9	0.4	0.821154676861957	2.29968980170895	3.96666666666667	9	53.169110696649
6	0.9	0.7	0.824997676349812	2.19564326559404	3.6	28	64.9131537180467
5	0.6	0.1	0.82599583776802	2.56272422340682	4.56666666666667	9	29.57825113122
8	0.7	1	0.826082927459656	2.32964726735077	4	26	67.2030853016252
8	0.7	1	0.826082927459656	2.32964726735077	4	26	67.2030853016252
5	0.4	0.7	0.826760148934162	2.40985337904515	4.16666666666667	12	45.3567158782167
7	0.7	0.8	0.827079514166368	2.32530708537158	4.03333333333333	13	61.1856465155888
9	0.1	0.5	0.827946674444393	2.73703848056178	5.2	3	23.7231481572613
9	0.2	1	0.828180953361761	2.63587106516958	5	21	39.8517355502586
9	0.2	1	0.828180953361761	2.63587106516958	5	21	39.8517355502586
6	0.7	0.5	0.828805307021533	2.34728659925231	4.03333333333333	18	51.2279774019645
6	0.8	0.9	0.828953108103746	2.1233286187208	3.43333333333333	21	68.3956355865477
6	0.9	0.9	0.829032240313817	2.14172392700522	3.6	21	72.5358381563337
5	0.2	0.4	0.829406100313212	2.65440591042572	4.86666666666667	14	27.8947089179297
5	0.3	0.3	0.830223316620235	2.62166021462372	4.8	29	29.5347452893018
6	0.5	0.5	0.830597657387288	2.51207645296879	4.5	22	43.9482154595574
9	1	0.6	0.832072796856542	2.40359412018835	4.36666666666667	5	64.378376859603
9	1	0.6	0.832072796856542	2.40359412018835	4.36666666666667	5	64.378376859603
6	0.5	0.9	0.832189464428855	2.301760886717	3.93333333333333	13	55.0702016196125
5	0.4	0.4	0.833023131771833	2.48000963948185	4.36666666666667	1	36.7756539485751
9	0.8	1	0.833182177714838	2.36124805325312	4.06666666666667	17	71.4912156147411
9	0.8	1	0.833182177714838	2.36124805325312	4.06666666666667	17	71.4912156147411
5	0.5	0.9	0.833659507899795	2.29729982123652	3.9	12	55.4311048378456
8	0.1	0.1	0.834276485533985	3.67705825662415	7.9	30	15.5166529014259
6	0.6	0.5	0.835005534377094	2.44061503594112	4.4	8	47.9905437320422
5	0.4	0.6	0.836278282428478	2.37620600100798	4.03333333333333	4	42.7649503962778
9	0.1	0.4	0.837298892785657	2.77994040488147	5.33333333333333	6	21.9479589317886
5	0.7	0.8	0.837533097282485	2.22113003142792	3.66666666666667	2	61.6167461255083
6	0.1	0.2	0.838034861592124	3.09411232640854	5.83333333333333	25	17.5443326914119
6	0.6	0.6	0.838915903700609	2.34045399770207	4.1	13	50.9787348193719
5	0.3	0.5	0.838946750136485	2.61776534572893	4.76666666666667	19	35.6163584958831
7	1	0.8	0.840323400927936	2.21239904467319	3.8	29	72.399079804467
7	1	0.8	0.840323400927936	2.21239904467319	3.8	29	72.399079804467
9	0.1	0.8	0.841590335416162	2.79406810963998	5.2	19	28.7053529471358
8	0.1	0.4	0.841643669104758	2.89978892867247	5.43333333333333	11	21.8134488215599
5	0.6	0.2	0.842555128781112	2.4123025816472	4.1	12	34.6907272120515
8	1	0.1	0.843520129708621	2.63954323665105	4.83333333333333	5	33.2375027692016
8	1	0.1	0.843520129708621	2.63954323665105	4.83333333333333	5	33.2375027692016
8	0.6	1	0.843711301676134	2.43463483736652	4.36666666666667	4	62.1883584565335
8	0.6	1	0.843711301676134	2.43463483736652	4.36666666666667	4	62.1883584565335
5	0.7	0.6	0.844243778242358	2.22280522656717	3.6	24	55.4650181943696
6	0.1	0.4	0.845064299491248	2.88781822785315	5.26666666666667	17	22.41758139709
5	0.8	0.4	0.845616308752806	2.20935947231427	3.66666666666667	8	62.5575997122862
7	0.9	0.2	0.845654861949714	2.451003841016	4.26666666666667	20	39.8495313454006
6	0.9	0.8	0.848867369214877	2.0624143454394	3.36666666666667	28	69.1871104904281
6	0.8	0.3	0.849314058877866	2.3979591863835	4.13333333333333	9	45.1333579536856
6	0.9	0.5	0.850062846078617	2.17752690521108	3.6	11	57.8677172705091
6	0.4	0.7	0.850974575997235	2.6202709313181	4.76666666666667	12	45.1624157416621
9	0.6	1	0.852068466588122	2.46113916242062	4.43333333333333	6	62.5566541263881
9	0.6	1	0.852068466588122	2.46113916242062	4.43333333333333	6	62.5566541263881
5	0.4	0.9	0.85224417141977	2.35081920768439	4.06666666666667	4	50.1303954384525
7	0.8	0.6	0.852900833855721	2.39293589172097	4.13333333333333	2	58.1598743758586
5	0.4	0.8	0.853509094861011	2.3857338138196	4.06666666666667	18	48.3935491078798
7	0.9	0.3	0.853627233188153	2.41870144462591	4.3	4	48.2088900765249
7	0.8	0.2	0.853718805087249	2.50312146282036	4.53333333333333	4	40.274566491569
7	0.2	0.7	0.854000786988381	2.75024945435698	5.06666666666667	21	34.7478510788184
6	1	0.8	0.855268724856596	1.92009340570339	2.96666666666667	12	81.8906660198311
6	1	0.8	0.855268724856596	1.92009340570339	2.96666666666667	12	81.8906660198311
6	0.3	0.8	0.85562166126228	2.59668281220876	4.7	7	42.5884729151767
5	0.3	0.9	0.855651281375347	2.4989302761418	4.46666666666667	4	45.0300912934197
9	0.1	1	0.855682181813526	2.63013284448519	5	18	30.9997627267299
9	0.1	1	0.855682181813526	2.63013284448519	5	18	30.9997627267299
8	0.3	1	0.85673792501174	2.58256968006853	4.83333333333333	18	46.5571201199247
8	0.3	1	0.85673792501174	2.58256968006853	4.83333333333333	18	46.5571201199247
7	0.2	0.9	0.857155229877384	2.68990528948463	4.96666666666667	7	38.0781909735028
6	1	0.3	0.857767652552937	2.30759700015842	3.93333333333333	10	48.0392110835547
6	1	0.3	0.857767652552937	2.30759700015842	3.93333333333333	10	48.0392110835547
6	0.6	0.3	0.857861862236674	2.52795579436072	4.53333333333333	6	40.2533601004318
6	0.1	0.6	0.858622942618278	2.84733357242993	5.13333333333333	29	25.9035148143496
9	0.7	0.8	0.858750732901612	2.50178556399189	4.5	24	61.1917995998888
6	0.9	1	0.859969764252942	2.03543728734133	3.23333333333333	6	75.8842111913333
6	0.9	1	0.859969764252942	2.03543728734133	3.23333333333333	6	75.8842111913333
5	0.9	0.6	0.860188206011134	2.11988938237222	3.5	3	61.5868135377243
8	0.2	1	0.860214907241534	2.66881442381584	5	1	39.8138993891527
8	0.2	1	0.860214907241534	2.66881442381584	5	1	39.8138993891527
7	0.6	0.6	0.86032831829865	2.51047583895804	4.53333333333333	5	51.2167751632609
6	0.4	0.3	0.861430247150659	2.66670841297345	4.9	27	33.9850856759121
5	0.9	0.8	0.861995539227174	1.89775873398142	2.86666666666667	17	78.5247930756133
7	0.5	1	0.862214379886652	2.40684817832904	4.3	24	57.643035940804
7	0.5	1	0.862214379886652	2.40684817832904	4.3	24	57.643035940804
8	0.8	0.7	0.864060572342475	2.36941443182959	4.16666666666667	2	61.8745871852883
6	0.8	0.2	0.864844526262806	2.45737335852091	4.36666666666667	18	38.3898789868827
9	0.8	0.8	0.865460236604651	2.41605739738145	4.3	27	65.0441601322835
6	0.5	0.4	0.866920574943143	2.53034534959085	4.6	30	40.9661235137491
7	0.2	1	0.867234234159876	2.68828718907081	4.96666666666667	15	39.7930816134263
7	0.2	1	0.867234234159876	2.68828718907081	4.96666666666667	15	39.7930816134263
7	0.1	0.8	0.868503937950528	2.74429133195415	5.1	24	28.1698078150476
5	0.2	0.5	0.869318618377186	2.75470618828342	4.96666666666667	9	30.1456611460406
5	0.5	0.3	0.870695206891133	2.48181921884323	4.36666666666667	27	37.093952804453
6	0.4	0.9	0.870908959299477	2.5082386088276	4.53333333333333	5	50.3792977428847
8	0.8	0.6	0.871223924759839	2.40113462269107	4.3	23	57.9975741622159
9	1	0.8	0.871301298875504	2.26747859609813	3.96666666666667	25	72.3876506706844
9	1	0.8	0.871301298875504	2.26747859609813	3.96666666666667	25	72.3876506706844
6	0.2	1	0.871515516017461	2.69233083976037	4.86666666666667	4	39.8844696891442
6	0.2	1	0.871515516017461	2.69233083976037	4.86666666666667	4	39.8844696891442
7	0.6	0.8	0.872963174107171	2.33935102997127	4.16666666666667	20	56.9017887075558
6	0.4	0.5	0.873624439435713	2.57401318664729	4.73333333333333	18	39.9942887212987
8	0.7	0.9	0.873629482496258	2.53064141713923	4.63333333333333	19	64.0613390777293
6	0.1	0.5	0.873828220755392	2.78106639436663	5.13333333333333	27	23.7808753970353
7	0.4	0.7	0.874023104381864	2.56841014847086	4.73333333333333	9	45.4334622171823
5	0.4	0.5	0.874979632681416	2.48747932737123	4.43333333333333	13	40.2484102515468
9	0.1	0.9	0.875132131494141	2.73726376037084	5.13333333333333	7	29.6055050988321
6	0.5	0.8	0.875368460247346	2.45844818021238	4.43333333333333	30	52.8189568275603
8	1	0.3	0.87556785384645	2.39482445000276	4.2	3	48.195588536948
8	1	0.3	0.87556785384645	2.39482445000276	4.2	3	48.195588536948
7	0.1	0.3	0.875984295338463	3.0143242147684	5.7	9	19.8641519559711
8	1	0.2	0.876257411901002	2.59219264368666	4.73333333333333	25	41.3378332281452
8	1	0.2	0.876257411901002	2.59219264368666	4.73333333333333	25	41.3378332281452
6	0.1	0.1	0.876565564686862	3.13270868265638	6	10	16.6344056514351
9	0.9	0.6	0.876728728717475	2.37083301141008	4.16666666666667	12	61.8298984794726
7	0.8	0.3	0.878486879221959	2.3903050521239	4.1	12	44.0741902353326
5	0.7	0.1	0.879479486826792	2.52485808481808	4.46666666666667	7	30.3946158888901
9	0.1	0.3	0.879779347732821	2.94930297943094	5.63333333333333	4	20.300528376678
6	0.9	0.4	0.879817616512731	2.32015877741468	4	16	53.6045516742326
8	0.5	0.8	0.880006919319031	2.56572771871835	4.7	29	52.5053977611732
6	1	0.4	0.880386622247963	2.28935428066306	3.93333333333333	6	54.1032017371211
6	1	0.4	0.880386622247963	2.28935428066306	3.93333333333333	6	54.1032017371211
7	0.6	1	0.880462247594046	2.3691749793268	4.13333333333333	16	62.4859207297561
7	0.6	1	0.880462247594046	2.3691749793268	4.13333333333333	16	62.4859207297561
6	0.6	1	0.881097553905957	2.27597069902775	3.96666666666667	15	62.6793625656269
6	0.6	1	0.881097553905957	2.27597069902775	3.96666666666667	15	62.6793625656269
6	0.7	0.9	0.882043169061695	2.25544866901605	3.93333333333333	9	64.3117019986963
5	0.2	0.2	0.882963189619872	2.70271747282777	4.9	4	23.4152512934297
6	0.3	1	0.883370542371451	2.55396076721308	4.7	5	46.5234448399175
6	0.3	1	0.883370542371451	2.55396076721308	4.7	5	46.5234448399175
9	0.2	0.6	0.883533300552574	2.63851333889731	5.03333333333333	21	32.5349325697725
7	0.7	0.6	0.883818806984625	2.47670487846906	4.46666666666667	25	54.8502643987159
5	0.3	0.7	0.88384738625587	2.55328411362366	4.56666666666667	29	40.5213724296693
6	0.6	0.8	0.883955876040568	2.37511613581027	4.2	14	57.3687260638173
8	0.7	0.3	0.8841571382063	2.46849676048508	4.56666666666667	9	41.791194578264
7	0.6	0.4	0.884410954553762	2.48282247752971	4.56666666666667	25	43.297726849284
8	0.6	0.7	0.884479663196659	2.53064077660093	4.6	21	54.1616168829967
5	0.2	0.3	0.885026505132963	2.71652347505054	4.93333333333333	18	25.6364116106669
9	0.8	0.6	0.885218685147391	2.47431142992016	4.46666666666667	7	58.2136221679565
5	0.1	0.2	0.885916622757971	2.8172929019814	5	17	18.6579864825442
8	0.8	0.4	0.886057668963408	2.5199362541346	4.56666666666667	29	48.9267826970626
5	0.1	0.5	0.887189262697855	2.75223884045084	5	17	24.1243780841621
7	0.5	0.7	0.887533548676983	2.52058109246031	4.66666666666667	13	49.9661753416681
8	0.8	0.5	0.887554057888648	2.48298059655496	4.36666666666667	22	54.080960851752
5	0.2	0.6	0.887711849994225	2.63200589299732	4.7	22	32.8451863550728
5	0.1	0.1	0.887771083831951	2.78409200338277	5	5	18.4893450422955
5	0.9	0.7	0.888279843215587	2.03478873370556	3.23333333333333	26	65.7442028926255
7	0.8	0.9	0.888355900932171	2.21319685456977	3.76666666666667	4	68.3992699049839
8	0.7	0.6	0.888440976346136	2.53578586151883	4.66666666666667	26	54.7740159150757
8	0.5	1	0.890183658371593	2.48857078549541	4.56666666666667	14	57.7234108324233
8	0.5	1	0.890183658371593	2.48857078549541	4.56666666666667	14	57.7234108324233
6	0.7	1	0.891176871274381	2.15563313155662	3.63333333333333	26	67.3685783756467
6	0.7	1	0.891176871274381	2.15563313155662	3.63333333333333	26	67.3685783756467
7	0.6	0.9	0.891406942446765	2.37126735391741	4.23333333333333	19	59.7000746587041
6	0.7	0.4	0.892015011869105	2.43078919322033	4.26666666666667	5	46.5588809195101
7	1	0.3	0.892066582482074	2.30037796830794	3.9	6	48.4342524261609
7	1	0.3	0.892066582482074	2.30037796830794	3.9	6	48.4342524261609
6	0.5	0.3	0.89213074309507	2.49058953113928	4.56666666666667	19	36.9440175356251
9	1	0.5	0.892192265481902	2.3756511097272	4.13333333333333	7	60.2691930534833
9	1	0.5	0.892192265481902	2.3756511097272	4.13333333333333	7	60.2691930534833
7	0.7	0.7	0.892204342283062	2.43322786803896	4.36666666666667	28	58.20940364331
6	0.4	1	0.892905586607701	2.45122015500755	4.36666666666667	24	52.5841989760099
6	0.4	1	0.892905586607701	2.45122015500755	4.36666666666667	24	52.5841989760099
9	0.7	1	0.892987775459982	2.47323389678152	4.46666666666667	29	67.1842855212535
9	0.7	1	0.892987775459982	2.47323389678152	4.46666666666667	29	67.1842855212535
5	0.2	0.9	0.893130872833242	2.58664602614531	4.76666666666667	26	38.2143417863895
7	0.9	0.5	0.89322641947713	2.35110635852746	4.06666666666667	13	56.358981640731
6	0.7	0.6	0.893623589398087	2.3251023878151	4.03333333333333	15	54.9184621371522
8	0.7	0.4	0.893685292615294	2.50902747336983	4.56666666666667	30	47.820084069919
7	0.8	0.4	0.893764404435035	2.4470919212168	4.4	13	49.1686070816455
6	0.3	0.7	0.89400476859296	2.56458764964787	4.73333333333333	10	40.2994392382586
7	1	0.5	0.894189985138252	2.34537453170373	4.03333333333333	5	58.7445066217343
7	1	0.5	0.894189985138252	2.34537453170373	4.03333333333333	5	58.7445066217343
7	0.7	0.5	0.894759908439837	2.44272624079508	4.36666666666667	2	50.9528542369411
6	1	0.6	0.894804540443712	2.06750460459975	3.4	23	64.8262094362653
6	1	0.6	0.894804540443712	2.06750460459975	3.4	23	64.8262094362653
6	0.4	0.4	0.894995383860916	2.55547580951021	4.73333333333333	16	36.9298120112695
9	0.5	0.6	0.895140303905767	2.64995214688588	4.9	24	47.4177784824423
5	0.1	0.9	0.8953337635658	2.75295891275054	4.93333333333333	19	29.7065962456034
9	0.6	0.5	0.895833283961974	2.52858749944804	4.66666666666667	2	47.8352542953886
7	0.5	0.6	0.895971138763844	2.51194078502062	4.63333333333333	14	47.1086070880407
7	0.4	0.3	0.896951721258436	2.65867130060824	4.96666666666667	22	33.8013138616571
6	0.6	0.9	0.897902970024098	2.30066878211452	3.96666666666667	13	59.838008995101
8	0.2	0.8	0.898494494414566	2.68886507832539	5.03333333333333	16	36.439375629273
8	0.4	0.9	0.89959611316231	2.54044888098833	4.7	23	50.2060357053954
