ts_N	shared_N
615164	966380
100678	966380
86630	966380
56704	966380
82307	966380
59363	966380
62244	966380
37868	966380
156656	966380
52667	966380
37976	966380
54235	966380
33650	966380
20831	966380
39986	966380
73704	966380
113197	966380
77048	966380
39886	966380
59367	966380
111576	966380
175951	966380
